City_Council_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
33.0,2016,5862,0.39390306559342353
33.0,2017,5906,0.7505970658478335
33.0,2018,4636,-21.503555706061633
33.0,2019,3764,-18.809318377911993
33.0,2020,2159,-42.64080765143464
33.0,2021,2756,27.651690597498842
33.0,2022,3676,33.38171262699564
33.0,2023,2080,-43.41675734494015
34.0,2006,8337,
34.0,2007,7831,-6.06932949502219
34.0,2008,8495,8.479121440429065
34.0,2009,8407,-1.0359034726309593
34.0,2010,8702,3.508980611395266
34.0,2011,9428,8.342909675936566
34.0,2012,8840,-6.236741620704285
34.0,2013,8865,0.2828054298642534
34.0,2014,8196,-7.54653130287648
34.0,2015,6868,-16.20302586627623
34.0,2016,6375,-7.1782178217821775
34.0,2017,5803,-8.972549019607843
34.0,2018,4540,-21.764604514906082
34.0,2019,4053,-10.726872246696036
34.0,2020,2385,-41.154700222057734
34.0,2021,2763,15.849056603773585
34.0,2022,3025,9.482446615997105
34.0,2023,1817,-39.93388429752066
35.0,2006,9597,
35.0,2007,10206,6.3457330415754925
35.0,2008,9590,-6.035665294924554
35.0,2009,10043,4.723670490093848
35.0,2010,10391,3.4651000697002887
35.0,2011,9607,-7.544990857472814
35.0,2012,10044,4.5487665244092845
35.0,2013,9835,-2.0808442851453606
35.0,2014,9663,-1.7488561260803253
35.0,2015,8731,-9.64503777294836
35.0,2016,8796,0.7444737143511625
35.0,2017,7679,-12.698954070031832
35.0,2018,6041,-21.330902461257974
35.0,2019,5429,-10.130773050819402
35.0,2020,3577,-34.11309633449991
35.0,2021,3601,0.6709533128319821
35.0,2022,4597,27.658983615662315
35.0,2023,2699,-41.28779638894932
36.0,2006,11239,
36.0,2007,12946,15.188184002135422
36.0,2008,12440,-3.90854317936042
36.0,2009,14208,14.212218649517686
36.0,2010,14080,-0.9009009009009009
36.0,2011,13449,-4.481534090909091
36.0,2012,12902,-4.067216893449327
36.0,2013,12845,-0.44179197023717254
36.0,2014,11181,-12.954456987154536
36.0,2015,8855,-20.803148197835615
36.0,2016,8137,-8.10841332580463
36.0,2017,7487,-7.988202040063906
36.0,2018,6698,-10.538266328302392
36.0,2019,5347,-20.17020005971932
36.0,2020,4148,-22.423789040583504
36.0,2021,4096,-1.253616200578592
36.0,2022,4842,18.212890625
36.0,2023,2905,-40.00413052457662
37.0,2006,10681,
37.0,2007,12253,14.71772305963861
