State_Senate_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
15.0,2011,1,2139,-3.7786774628879893
15.0,2011,2,1848,-13.604488078541374
15.0,2011,3,1819,-1.5692640692640691
15.0,2012,0,2276,25.123694337548102
15.0,2012,1,2207,-3.031634446397188
15.0,2012,2,2269,2.8092433167195288
15.0,2012,3,1913,-15.689731159100925
15.0,2013,0,2399,25.405122843700994
15.0,2013,1,2421,0.9170487703209671
15.0,2013,2,2341,-3.3044196612969845
15.0,2013,3,2400,2.520290474156343
15.0,2014,0,2225,-7.291666666666667
15.0,2014,1,2175,-2.247191011235955
15.0,2014,2,2029,-6.712643678160919
15.0,2014,3,1916,-5.569245933957615
15.0,2015,0,1769,-7.67223382045929
15.0,2015,1,1927,8.93159977388355
15.0,2015,2,1995,3.5288012454592628
15.0,2015,3,1818,-8.87218045112782
15.0,2016,0,1994,9.68096809680968
15.0,2016,1,1992,-0.10030090270812438
15.0,2016,2,1856,-6.827309236947792
15.0,2016,3,1952,5.172413793103448
15.0,2017,0,1947,-0.25614754098360654
15.0,2017,1,1851,-4.930662557781202
15.0,2017,2,1726,-6.75310642895732
15.0,2017,3,1663,-3.650057937427578
15.0,2018,0,1719,3.367408298256164
15.0,2018,1,1641,-4.537521815008725
15.0,2018,2,1519,-7.434491163924436
15.0,2018,3,1476,-2.8308097432521393
15.0,2019,0,1318,-10.70460704607046
15.0,2019,1,1498,13.657056145675265
15.0,2019,2,1291,-13.818424566088117
15.0,2019,3,1270,-1.6266460108443066
15.0,2020,0,1194,-5.984251968503937
15.0,2020,1,894,-25.125628140703515
15.0,2020,2,866,-3.131991051454139
15.0,2020,3,998,15.242494226327944
15.0,2021,0,1093,9.519038076152304
15.0,2021,1,1019,-6.77035681610247
15.0,2021,2,1266,24.23945044160942
15.0,2021,3,1194,-5.687203791469194
15.0,2022,0,1213,1.5912897822445562
15.0,2022,1,1359,12.036273701566365
15.0,2022,2,1242,-8.609271523178808
15.0,2022,3,1307,5.233494363929147
15.0,2023,0,1414,8.186687069625096
15.0,2023,1,1389,-1.768033946251768
16.0,2006,0,2132,
16.0,2006,1,1936,-9.193245778611631
16.0,2006,2,1596,-17.56198347107438
16.0,2006,3,1760,10.275689223057643
16.0,2007,0,1982,12.613636363636363
16.0,2007,1,1725,-12.96670030272452
16.0,2007,2,1696,-1.6811594202898552
16.0,2007,3,1599,-5.71933962264151
16.0,2008,0,1725,7.879924953095685
16.0,2008,1,1685,-2.318840579710145
16.0,2008,2,1746,3.620178041543027
16.0,2008,3,1838,5.2691867124856815
16.0,2009,0,2093,13.873775843307943
16.0,2009,1,1910,-8.743430482560917
16.0,2009,2,1660,-13.089005235602095
16.0,2009,3,1629,-1.8674698795180724
16.0,2010,0,1773,8.83977900552486
16.0,2010,1,1816,2.4252679075014103
16.0,2010,2,1668,-8.149779735682818
16.0,2010,3,1721,3.1774580335731413
16.0,2011,0,2023,17.54793724578733
16.0,2011,1,1968,-2.718734552644587
16.0,2011,2,1537,-21.90040650406504
16.0,2011,3,1740,13.20754716981132
16.0,2012,0,1957,12.471264367816092
16.0,2012,1,1985,1.430761369443025
16.0,2012,2,1863,-6.146095717884131
16.0,2012,3,1648,-11.540526033279656
16.0,2013,0,1997,21.177184466019416
16.0,2013,1,1997,0.0
16.0,2013,2,1862,-6.760140210315472
16.0,2013,3,1842,-1.0741138560687433
16.0,2014,0,1782,-3.257328990228013
16.0,2014,1,2026,13.692480359147025
16.0,2014,2,1703,-15.94274432379072
16.0,2014,3,1602,-5.930710510863182
16.0,2015,0,1567,-2.184769038701623
16.0,2015,1,1599,2.0421186981493302
16.0,2015,2,1764,10.318949343339586
16.0,2015,3,1676,-4.988662131519274
16.0,2016,0,1556,-7.159904534606206
16.0,2016,1,1639,5.334190231362468
16.0,2016,2,1689,3.0506406345332517
16.0,2016,3,1642,-2.782711663706335
16.0,2017,0,1781,8.465286236297198
16.0,2017,1,1558,-12.521055586749016
16.0,2017,2,1428,-8.34403080872914
16.0,2017,3,1541,7.913165266106442
16.0,2018,0,1462,-5.126541207008436
16.0,2018,1,1430,-2.188782489740082
16.0,2018,2,1463,2.307692307692308
16.0,2018,3,1304,-10.868079289131922
16.0,2019,0,1305,0.07668711656441718
16.0,2019,1,1374,5.287356321839081
16.0,2019,2,1271,-7.496360989810771
16.0,2019,3,1101,-13.375295043273013
16.0,2020,0,1095,-0.544959128065395
16.0,2020,1,560,-48.858447488584474
16.0,2020,2,727,29.82142857142857
16.0,2020,3,851,17.05639614855571
16.0,2021,0,944,10.928319623971799
16.0,2021,1,787,-16.63135593220339
16.0,2021,2,975,23.88818297331639
16.0,2021,3,1099,12.717948717948719
16.0,2022,0,1162,5.7324840764331215
16.0,2022,1,1244,7.056798623063683
16.0,2022,2,1030,-17.20257234726688
16.0,2022,3,1285,24.75728155339806
16.0,2023,0,1496,16.420233463035018
16.0,2023,1,1349,-9.82620320855615
17.0,2006,0,1153,
17.0,2006,1,1053,-8.673026886383347
17.0,2006,2,974,-7.502374169040836
17.0,2006,3,906,-6.981519507186857
17.0,2007,0,1178,30.022075055187635
17.0,2007,1,1066,-9.507640067911714
17.0,2007,2,1025,-3.8461538461538463
17.0,2007,3,1015,-0.975609756097561
17.0,2008,0,1144,12.709359605911331
17.0,2008,1,1010,-11.713286713286713
17.0,2008,2,1078,6.732673267326733
17.0,2008,3,1056,-2.0408163265306123
17.0,2009,0,1118,5.871212121212121
17.0,2009,1,1177,5.277280858676208
17.0,2009,2,914,-22.344944774851317
17.0,2009,3,999,9.299781181619256
17.0,2010,0,1141,14.214214214214213
17.0,2010,1,1181,3.5056967572304996
17.0,2010,2,1022,-13.463166807790008
17.0,2010,3,924,-9.58904109589041
17.0,2011,0,1244,34.63203463203463
17.0,2011,1,1121,-9.887459807073954
17.0,2011,2,935,-16.592328278322928
17.0,2011,3,881,-5.775401069518717
17.0,2012,0,1114,26.4472190692395
17.0,2012,1,1090,-2.154398563734291
17.0,2012,2,1038,-4.770642201834862
17.0,2012,3,822,-20.809248554913296
17.0,2013,0,1016,23.600973236009732
17.0,2013,1,1072,5.511811023622047
17.0,2013,2,1013,-5.503731343283582
17.0,2013,3,1056,4.244817374136229
17.0,2014,0,1178,11.553030303030303
17.0,2014,1,1249,6.027164685908319
17.0,2014,2,1093,-12.489991993594876
17.0,2014,3,1103,0.9149130832570906
17.0,2015,0,989,-10.335448776065277
17.0,2015,1,1139,15.166835187057634
17.0,2015,2,1097,-3.6874451273046533
17.0,2015,3,1071,-2.3701002734731085
17.0,2016,0,1076,0.4668534080298786
17.0,2016,1,1032,-4.089219330855019
17.0,2016,2,1035,0.29069767441860467
17.0,2016,3,1073,3.6714975845410627
17.0,2017,0,1036,-3.4482758620689653
17.0,2017,1,1107,6.853281853281853
17.0,2017,2,1077,-2.710027100271003
17.0,2017,3,1005,-6.685236768802229
17.0,2018,0,961,-4.378109452736319
17.0,2018,1,783,-18.522372528616025
17.0,2018,2,778,-0.6385696040868455
17.0,2018,3,690,-11.311053984575835
17.0,2019,0,897,30.0
17.0,2019,1,856,-4.570791527313267
17.0,2019,2,659,-23.014018691588785
17.0,2019,3,657,-0.30349013657056145
17.0,2020,0,607,-7.610350076103501
17.0,2020,1,449,-26.02965403624382
17.0,2020,2,457,1.7817371937639197
17.0,2020,3,564,23.413566739606125
17.0,2021,0,670,18.79432624113475
17.0,2021,1,519,-22.53731343283582
17.0,2021,2,584,12.524084778420038
17.0,2021,3,637,9.075342465753424
17.0,2022,0,636,-0.15698587127158556
17.0,2022,1,710,11.635220125786164
17.0,2022,2,691,-2.676056338028169
17.0,2022,3,661,-4.341534008683068
17.0,2023,0,800,21.02874432677761
17.0,2023,1,925,15.625
18.0,2006,0,3634,
18.0,2006,1,3688,1.4859658778205835
18.0,2006,2,3513,-4.745119305856833
18.0,2006,3,3480,-0.9393680614859093
18.0,2007,0,4021,15.545977011494253
18.0,2007,1,3817,-5.073364834618254
18.0,2007,2,3640,-4.6371495939219285
18.0,2007,3,3577,-1.7307692307692308
18.0,2008,0,4047,13.139502376292983
