Congressional_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
9.0,2016,1,5474,-5.310499913509773
9.0,2016,2,5133,-6.229448301059555
9.0,2016,3,5246,2.2014416520553284
9.0,2017,0,5357,2.115897826915745
9.0,2017,1,4993,-6.79484786260967
9.0,2017,2,4668,-6.509112757861005
9.0,2017,3,5036,7.883461868037704
9.0,2018,0,5222,3.6934074662430505
9.0,2018,1,4449,-14.802757564151667
9.0,2018,2,4244,-4.6077770285457404
9.0,2018,3,4013,-5.442978322337417
9.0,2019,0,4115,2.541739347121854
9.0,2019,1,3968,-3.572296476306197
9.0,2019,2,3745,-5.619959677419355
9.0,2019,3,3220,-14.018691588785046
9.0,2020,0,3111,-3.3850931677018634
9.0,2020,1,2066,-33.59048537447766
9.0,2020,2,2106,1.9361084220716358
9.0,2020,3,2664,26.495726495726498
9.0,2021,0,2782,4.42942942942943
9.0,2021,1,2588,-6.9734004313443565
9.0,2021,2,2818,8.887171561051005
9.0,2021,3,2755,-2.2356281050390345
9.0,2022,0,3081,11.833030852994556
9.0,2022,1,3234,4.965920155793573
9.0,2022,2,3035,-6.153370439084725
9.0,2022,3,3200,5.436573311367381
9.0,2023,0,3686,15.187500000000002
9.0,2023,1,3760,2.0075963103635375
10.0,2006,0,8898,
10.0,2006,1,8940,0.4720161834120027
10.0,2006,2,9002,0.6935123042505592
10.0,2006,3,8315,-7.631637413908019
10.0,2007,0,9323,12.122669873722188
10.0,2007,1,9328,0.05363080553469913
10.0,2007,2,9232,-1.0291595197255576
10.0,2007,3,8709,-5.665077989601387
10.0,2008,0,9313,6.935354231255024
10.0,2008,1,9338,0.26844196284763233
10.0,2008,2,8999,-3.630327693296209
10.0,2008,3,8812,-2.0780086676297365
10.0,2009,0,9859,11.881525192918748
10.0,2009,1,9864,0.05071508266558474
10.0,2009,2,9287,-5.84955393349554
10.0,2009,3,8932,-3.8225476472488427
10.0,2010,0,9731,8.945364979847739
10.0,2010,1,10181,4.6243962593772485
10.0,2010,2,9566,-6.0406639819271195
10.0,2010,3,9331,-2.4566171858666106
10.0,2011,0,9422,0.9752438109527383
10.0,2011,1,10442,10.825727021863724
10.0,2011,2,9205,-11.846389580540126
10.0,2011,3,9997,8.604019554589897
10.0,2012,0,10041,0.4401320396118836
10.0,2012,1,10124,0.8266108953291504
10.0,2012,2,10205,0.8000790201501382
10.0,2012,3,7814,-23.4296913277805
10.0,2013,0,9026,15.510621960583567
10.0,2013,1,9720,7.688898736982051
10.0,2013,2,9374,-3.5596707818930042
10.0,2013,3,8632,-7.915510987838703
10.0,2014,0,9110,5.537534754402224
10.0,2014,1,9699,6.465422612513722
10.0,2014,2,9220,-4.938653469429838
10.0,2014,3,7954,-13.731019522776572
10.0,2015,0,7982,0.35202413879808897
10.0,2015,1,8462,6.01353044349787
10.0,2015,2,8824,4.277948475537698
10.0,2015,3,8052,-8.748866727107888
10.0,2016,0,8300,3.0799801291604574
10.0,2016,1,8251,-0.5903614457831325
10.0,2016,2,7715,-6.496182280935645
10.0,2016,3,8015,3.888528839922229
10.0,2017,0,8107,1.1478477854023705
10.0,2017,1,7988,-1.4678672751942765
10.0,2017,2,7491,-6.221832749123686
10.0,2017,3,7305,-2.482979575490589
10.0,2018,0,7663,4.900752908966461
10.0,2018,1,6778,-11.549001696463526
10.0,2018,2,5936,-12.422543523163174
10.0,2018,3,5803,-2.240566037735849
10.0,2019,0,5995,3.3086334654489056
10.0,2019,1,5916,-1.317764804003336
10.0,2019,2,5798,-1.9945909398242054
10.0,2019,3,5011,-13.573646084856847
10.0,2020,0,4802,-4.170824186789064
10.0,2020,1,3087,-35.714285714285715
10.0,2020,2,2566,-16.877227081308714
10.0,2020,3,3410,32.891660171473106
10.0,2021,0,3588,5.219941348973607
10.0,2021,1,3522,-1.839464882943144
10.0,2021,2,3989,13.259511641113003
10.0,2021,3,4130,3.53472048132364
10.0,2022,0,4209,1.9128329297820823
10.0,2022,1,4872,15.751960085531005
10.0,2022,2,4781,-1.8678160919540232
10.0,2022,3,4726,-1.150386948337168
10.0,2023,0,5341,13.0131189166314
10.0,2023,1,5473,2.4714472945141357
11.0,2006,0,3825,
11.0,2006,1,4142,8.287581699346406
11.0,2006,2,4112,-0.724287783679382
11.0,2006,3,3850,-6.371595330739299
11.0,2007,0,4144,7.636363636363637
11.0,2007,1,4041,-2.4855212355212353
11.0,2007,2,4109,1.682751794110369
11.0,2007,3,4058,-1.241177902165977
11.0,2008,0,4533,11.705273533760472
11.0,2008,1,4969,9.618354290756672
11.0,2008,2,4827,-2.85771785067418
11.0,2008,3,4633,-4.0190594572198055
11.0,2009,0,4839,4.446363047701273
11.0,2009,1,4687,-3.141144864641455
11.0,2009,2,4152,-11.41455088542778
11.0,2009,3,4298,3.5163776493256265
11.0,2010,0,4471,4.025127966496045
11.0,2010,1,4838,8.20845448445538
11.0,2010,2,4406,-8.929309632079372
11.0,2010,3,4338,-1.5433499773036767
11.0,2011,0,4569,5.325034578146611
11.0,2011,1,4852,6.193915517618735
11.0,2011,2,4082,-15.869744435284419
11.0,2011,3,4097,0.3674669279764821
11.0,2012,0,4696,14.620453990724922
11.0,2012,1,4209,-10.37052810902896
11.0,2012,2,4189,-0.4751722499406035
11.0,2012,3,3392,-19.026020529959418
11.0,2013,0,3894,14.799528301886792
11.0,2013,1,4049,3.980482794042116
11.0,2013,2,4221,4.247962459866634
11.0,2013,3,4043,-4.217010187159441
11.0,2014,0,4557,12.713331684392779
11.0,2014,1,4863,6.7149440421329825
11.0,2014,2,4081,-16.080608677770925
11.0,2014,3,3725,-8.723352119578534
11.0,2015,0,3629,-2.577181208053691
11.0,2015,1,3777,4.078258473408653
11.0,2015,2,3802,0.6619009796134498
11.0,2015,3,3570,-6.102051551814834
11.0,2016,0,3990,11.76470588235294
11.0,2016,1,4170,4.511278195488721
11.0,2016,2,4169,-0.023980815347721823
11.0,2016,3,3947,-5.325017989925642
11.0,2017,0,3775,-4.357740055738535
11.0,2017,1,3993,5.774834437086093
11.0,2017,2,3903,-2.2539444027047333
11.0,2017,3,3480,-10.837817063797079
11.0,2018,0,3388,-2.6436781609195403
11.0,2018,1,3428,1.1806375442739079
11.0,2018,2,3370,-1.691948658109685
11.0,2018,3,3119,-7.448071216617211
11.0,2019,0,3348,7.342096825905739
11.0,2019,1,3050,-8.900836320191159
11.0,2019,2,2934,-3.8032786885245904
11.0,2019,3,2516,-14.246762099522837
11.0,2020,0,2469,-1.8680445151033387
11.0,2020,1,1649,-33.211826650465774
11.0,2020,2,1669,1.2128562765312312
11.0,2020,3,2209,32.354703415218694
11.0,2021,0,2481,12.313263920325939
11.0,2021,1,2094,-15.598548972188633
11.0,2021,2,2352,12.320916905444127
11.0,2021,3,2401,2.083333333333333
11.0,2022,0,2537,5.664306538942107
11.0,2022,1,2854,12.495072920772566
11.0,2022,2,2629,-7.883672039243167
11.0,2022,3,2714,3.2331685051350325
11.0,2023,0,3076,13.338246131171703
11.0,2023,1,3363,9.330299089726918
12.0,2006,0,8505,
12.0,2006,1,9193,8.08935920047031
12.0,2006,2,9333,1.5228978570651581
12.0,2006,3,9185,-1.585770920390014
12.0,2007,0,10078,9.722373434948285
12.0,2007,1,9787,-2.8874776741416945
12.0,2007,2,9470,-3.2389904975988557
12.0,2007,3,8844,-6.610348468848996
12.0,2008,0,9391,6.184984170058797
12.0,2008,1,9003,-4.131615376424236
12.0,2008,2,9342,3.76541152949017
12.0,2008,3,9297,-0.48169556840077066
12.0,2009,0,10406,11.928579111541357
12.0,2009,1,9766,-6.150297905054776
12.0,2009,2,9239,-5.396272783125128
12.0,2009,3,9399,1.7317891546704187
12.0,2010,0,9971,6.085753803596127
12.0,2010,1,9807,-1.6447698325142912
12.0,2010,2,9938,1.3357805649026206
12.0,2010,3,9272,-6.701549607566914
12.0,2011,0,9711,4.734685073339085
12.0,2011,1,10147,4.489753887344248
12.0,2011,2,8743,-13.83660195131566
12.0,2011,3,9386,7.35445499256548
12.0,2012,0,9533,1.5661623694864693
12.0,2012,1,9286,-2.590999685303682
12.0,2012,2,9556,2.9076028429894465
12.0,2012,3,8647,-9.512348262871495
12.0,2013,0,9873,14.178327743726149
12.0,2013,1,9919,0.46591714777676496
12.0,2013,2,9264,-6.603488254864402
12.0,2013,3,9646,4.123488773747841
12.0,2014,0,10145,5.1731287580344185
12.0,2014,1,10527,3.7654016757023165
12.0,2014,2,9963,-5.3576517526360785
12.0,2014,3,8425,-15.437117334136305
12.0,2015,0,8523,1.1632047477744807
12.0,2015,1,8895,4.3646603308694125
12.0,2015,2,9359,5.216413715570545
12.0,2015,3,8644,-7.639705096698365
12.0,2016,0,8881,2.7417862100879224
12.0,2016,1,7906,-10.978493412903951
12.0,2016,2,7145,-9.625600809511763
12.0,2016,3,7154,0.12596221133659902
12.0,2017,0,7149,-0.06989097008666481
12.0,2017,1,7386,3.31514897188418
12.0,2017,2,7171,-2.9109125372326026
12.0,2017,3,7212,0.5717473155766281
12.0,2018,0,6854,-4.963948973932335
12.0,2018,1,6021,-12.15348701488182
12.0,2018,2,5665,-5.912639096495599
12.0,2018,3,5359,-5.401588702559576
12.0,2019,0,5304,-1.0263108788953164
12.0,2019,1,5235,-1.3009049773755657
12.0,2019,2,4946,-5.5205348615090735
12.0,2019,3,4495,-9.118479579458148
12.0,2020,0,4032,-10.300333704115685
12.0,2020,1,2203,-45.36210317460318
12.0,2020,2,2182,-0.9532455742169769
12.0,2020,3,3113,42.66727772685609
12.0,2021,0,3380,8.576935432059107
12.0,2021,1,3265,-3.4023668639053253
12.0,2021,2,4006,22.695252679938744
12.0,2021,3,4412,10.134797803295058
12.0,2022,0,4303,-2.470534904805077
12.0,2022,1,4780,11.085289333023471
12.0,2022,2,4656,-2.594142259414226
12.0,2022,3,4847,4.102233676975945
12.0,2023,0,4837,-0.20631318341242005
12.0,2023,1,5405,11.742815794914204
13.0,2006,0,15097,
13.0,2006,1,14214,-5.84884414122011
13.0,2006,2,14731,3.637259040382721
13.0,2006,3,14841,0.746724594392777
13.0,2007,0,18358,23.697864025335218
13.0,2007,1,16080,-12.408759124087592
13.0,2007,2,16041,-0.2425373134328358
13.0,2007,3,15355,-4.276541362757933
13.0,2008,0,18228,18.710517746662326
13.0,2008,1,16646,-8.678955453149001
13.0,2008,2,15485,-6.974648564219632
13.0,2008,3,15111,-2.4152405553761707
13.0,2009,0,18173,20.263384289590363
13.0,2009,1,17331,-4.633247124855555
13.0,2009,2,16098,-7.114419248745023
13.0,2009,3,15599,-3.0997639458317803
13.0,2010,0,17054,9.327520994935574
13.0,2010,1,17387,1.9526210859622375
13.0,2010,2,15740,-9.472594467130614
13.0,2010,3,15279,-2.928843710292249
13.0,2011,0,16667,9.084364159958112
13.0,2011,1,16248,-2.51394972100558
13.0,2011,2,15098,-7.077794190054161
13.0,2011,3,14190,-6.014041594913234
13.0,2012,0,16771,18.188865398167724
13.0,2012,1,15448,-7.88861725597758
13.0,2012,2,15322,-0.8156395649922319
