Police_Precinct,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
42.0,2012,6027,-12.753329473074695
42.0,2013,6144,1.9412643106022895
42.0,2014,6226,1.3346354166666665
42.0,2015,5417,-12.993896562801158
42.0,2016,5603,3.4336348532398
42.0,2017,5048,-9.905407817240764
42.0,2018,4184,-17.11568938193344
42.0,2019,3683,-11.974187380497133
42.0,2020,2495,-32.25631278848765
42.0,2021,3057,22.5250501002004
42.0,2022,3169,3.663722603859994
42.0,2023,2110,-33.41748185547491
43.0,2006,10593,
43.0,2007,11891,12.2533748701973
43.0,2008,10850,-8.75452022538054
43.0,2009,10900,0.4608294930875576
43.0,2010,10966,0.6055045871559633
43.0,2011,11885,8.380448659492979
43.0,2012,10069,-15.279764408918805
43.0,2013,7996,-20.58794319197537
43.0,2014,8070,0.9254627313656828
43.0,2015,6377,-20.97893432465923
43.0,2016,6002,-5.880508075897758
43.0,2017,5941,-1.016327890703099
43.0,2018,4796,-19.272849688604612
43.0,2019,3976,-17.097581317764803
43.0,2020,3140,-21.026156941649898
43.0,2021,3382,7.707006369426751
43.0,2022,4564,34.94973388527499
43.0,2023,2752,-39.70201577563541
44.0,2006,12475,
44.0,2007,14441,15.759519038076153
44.0,2008,14581,0.9694619486185166
44.0,2009,15112,3.6417255332281737
44.0,2010,16240,7.464266807834834
44.0,2011,15415,-5.080049261083744
44.0,2012,13667,-11.33960428154395
44.0,2013,13031,-4.65354503548694
44.0,2014,11435,-12.24771698258
44.0,2015,11132,-2.64975951027547
44.0,2016,9457,-15.046712181099533
44.0,2017,7952,-15.914137675795706
44.0,2018,7447,-6.350603621730383
44.0,2019,6716,-9.816033302000806
44.0,2020,3988,-40.61941631923764
44.0,2021,4573,14.66900702106319
44.0,2022,5860,28.143450688825716
44.0,2023,3776,-35.563139931740615
45.0,2006,3015,
45.0,2007,3007,-0.26533996683250416
45.0,2008,3333,10.84137013634852
45.0,2009,3477,4.32043204320432
45.0,2010,3406,-2.0419902214552774
45.0,2011,3553,4.315913094539049
45.0,2012,3360,-5.432029271038559
45.0,2013,2987,-11.101190476190476
45.0,2014,3110,4.117843990626046
45.0,2015,2963,-4.72668810289389
45.0,2016,2790,-5.838677016537294
45.0,2017,2567,-7.992831541218639
45.0,2018,2601,1.3245033112582782
45.0,2019,2231,-14.225297962322184
45.0,2020,1437,-35.589421783953384
45.0,2021,1484,3.2707028531663185
45.0,2022,1720,15.902964959568733
45.0,2023,1373,-20.174418604651162
46.0,2006,11317,
46.0,2007,12327,8.924626667844835
46.0,2008,12758,3.496390038127687
46.0,2009,12319,-3.4409782097507446
46.0,2010,10032,-18.564818572936115
46.0,2011,9347,-6.828149920255183
46.0,2012,8736,-6.536856745479833
46.0,2013,7799,-10.7257326007326
46.0,2014,7885,1.102705475060905
46.0,2015,6360,-19.340519974635384
46.0,2016,5566,-12.484276729559749
46.0,2017,5349,-3.8986704994610135
46.0,2018,5645,5.533744625163582
46.0,2019,4627,-18.033658104517272
46.0,2020,3313,-28.39853036524746
46.0,2021,3229,-2.5354663447026864
46.0,2022,4546,40.78662124496748
46.0,2023,2900,-36.207655081390236
47.0,2006,5986,
47.0,2007,7244,21.01570330771801
47.0,2008,7840,8.227498619547212
47.0,2009,7907,0.8545918367346939
47.0,2010,7740,-2.1120526116099656
47.0,2011,7011,-9.41860465116279
47.0,2012,6741,-3.8510911424903727
47.0,2013,7011,4.005340453938585
47.0,2014,6920,-1.297960348024533
47.0,2015,5993,-13.395953757225435
47.0,2016,5785,-3.470715835140998
47.0,2017,5814,0.5012964563526361
47.0,2018,5360,-7.808737530099759
47.0,2019,4688,-12.53731343283582
47.0,2020,3195,-31.847269624573375
47.0,2021,3593,12.456964006259781
47.0,2022,3713,3.339827442248817
47.0,2023,2152,-42.04147589550229
48.0,2006,5202,
48.0,2007,7540,44.9442522106882
48.0,2008,6806,-9.73474801061008
48.0,2009,7194,5.700852189244784
48.0,2010,7465,3.7670280789546844
48.0,2011,6476,-13.248492967180175
48.0,2012,6494,0.2779493514515133
48.0,2013,6895,6.1749307052664
48.0,2014,6494,-5.815808556925308
48.0,2015,5930,-8.684939944564213
48.0,2016,5532,-6.7116357504215856
48.0,2017,4795,-13.322487346348518
48.0,2018,4365,-8.967674661105319
48.0,2019,3373,-22.7262313860252
48.0,2020,2431,-27.927660836050993
48.0,2021,2472,1.686548745372275
