City_Council_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
6.0,2017,3,689,-11.439588688946015
6.0,2018,0,708,2.7576197387518144
6.0,2018,1,663,-6.3559322033898304
6.0,2018,2,639,-3.619909502262444
6.0,2018,3,588,-7.981220657276995
6.0,2019,0,526,-10.54421768707483
6.0,2019,1,581,10.456273764258556
6.0,2019,2,560,-3.614457831325301
6.0,2019,3,433,-22.678571428571427
6.0,2020,0,412,-4.849884526558892
6.0,2020,1,259,-37.13592233009709
6.0,2020,2,316,22.00772200772201
6.0,2020,3,332,5.063291139240507
6.0,2021,0,416,25.301204819277107
6.0,2021,1,337,-18.990384615384613
6.0,2021,2,387,14.836795252225517
6.0,2021,3,450,16.27906976744186
6.0,2022,0,391,-13.111111111111112
6.0,2022,1,438,12.020460358056265
6.0,2022,2,486,10.95890410958904
6.0,2022,3,429,-11.728395061728394
6.0,2023,0,437,1.8648018648018647
6.0,2023,1,460,5.263157894736842
7.0,2006,0,2427,
7.0,2006,1,2254,-7.128141738772147
7.0,2006,2,2319,2.883762200532387
7.0,2006,3,2345,1.1211729193617939
7.0,2007,0,2845,21.321961620469082
7.0,2007,1,2632,-7.486818980667838
7.0,2007,2,2726,3.571428571428571
7.0,2007,3,2298,-15.700660308143801
7.0,2008,0,2659,15.709312445604873
7.0,2008,1,2524,-5.077096652877022
7.0,2008,2,2298,-8.9540412044374
7.0,2008,3,2177,-5.265448215839861
7.0,2009,0,2930,34.58888378502527
7.0,2009,1,2777,-5.221843003412969
7.0,2009,2,2855,2.8087864602088586
7.0,2009,3,2454,-14.045534150612959
7.0,2010,0,2475,0.8557457212713936
7.0,2010,1,2304,-6.909090909090909
7.0,2010,2,2485,7.855902777777778
7.0,2010,3,2392,-3.742454728370221
7.0,2011,0,2575,7.650501672240803
7.0,2011,1,2605,1.1650485436893203
7.0,2011,2,2271,-12.821497120921304
7.0,2011,3,2118,-6.737120211360634
7.0,2012,0,2664,25.77903682719547
7.0,2012,1,2424,-9.00900900900901
7.0,2012,2,2502,3.217821782178218
7.0,2012,3,2028,-18.94484412470024
7.0,2013,0,2526,24.556213017751478
7.0,2013,1,2589,2.494061757719715
7.0,2013,2,2576,-0.5021243723445346
7.0,2013,3,2196,-14.751552795031056
7.0,2014,0,2309,5.145719489981785
7.0,2014,1,2238,-3.0749242096145517
7.0,2014,2,1914,-14.47721179624665
7.0,2014,3,1843,-3.709508881922675
7.0,2015,0,1747,-5.208898534997287
7.0,2015,1,1931,10.532341156267888
7.0,2015,2,1869,-3.210771620921802
7.0,2015,3,1576,-15.676832530765115
7.0,2016,0,1761,11.738578680203046
7.0,2016,1,1693,-3.8614423622941514
7.0,2016,2,1603,-5.316007088009451
7.0,2016,3,1550,-3.3063006862133504
7.0,2017,0,1479,-4.580645161290323
7.0,2017,1,1409,-4.732927653820148
7.0,2017,2,1247,-11.497515968772179
7.0,2017,3,1230,-1.36327185244587
7.0,2018,0,1368,11.219512195121952
7.0,2018,1,1158,-15.350877192982457
7.0,2018,2,1060,-8.46286701208981
7.0,2018,3,988,-6.7924528301886795
7.0,2019,0,1012,2.42914979757085
7.0,2019,1,1094,8.102766798418973
7.0,2019,2,1003,-8.318098720292506
7.0,2019,3,962,-4.087736789631107
7.0,2020,0,928,-3.5343035343035343
7.0,2020,1,665,-28.34051724137931
7.0,2020,2,569,-14.43609022556391
7.0,2020,3,741,30.228471001757466
7.0,2021,0,979,32.11875843454791
7.0,2021,1,758,-22.57405515832482
7.0,2021,2,925,22.03166226912929
7.0,2021,3,983,6.27027027027027
7.0,2022,0,1033,5.0864699898270604
7.0,2022,1,1132,9.583736689254598
7.0,2022,2,984,-13.074204946996467
7.0,2022,3,947,-3.760162601626017
7.0,2023,0,1066,12.565997888067582
7.0,2023,1,1032,-3.189493433395872
8.0,2006,0,4484,
8.0,2006,1,4404,-1.784121320249777
8.0,2006,2,4289,-2.611262488646685
8.0,2006,3,4258,-0.7227792026113313
8.0,2007,0,4999,17.402536402066698
8.0,2007,1,4351,-12.962592518503701
8.0,2007,2,4552,4.619627671799586
8.0,2007,3,4356,-4.305799648506151
8.0,2008,0,5143,18.067033976124886
8.0,2008,1,4632,-9.935835115691232
8.0,2008,2,4569,-1.3601036269430051
8.0,2008,3,4231,-7.397680017509302
8.0,2009,0,5019,18.624438666981803
8.0,2009,1,4730,-5.758119147240486
8.0,2009,2,4622,-2.2832980972515857
8.0,2009,3,4444,-3.851146689744699
8.0,2010,0,4857,9.293429342934294
8.0,2010,1,5027,3.500102944204241
8.0,2010,2,4564,-9.2102645713149
8.0,2010,3,4172,-8.588957055214724
8.0,2011,0,4956,18.79194630872483
8.0,2011,1,4629,-6.598062953995157
8.0,2011,2,3971,-14.214733203715705
8.0,2011,3,3965,-0.15109544195416771
8.0,2012,0,4782,20.60529634300126
8.0,2012,1,4509,-5.708908406524467
8.0,2012,2,4500,-0.19960079840319359
8.0,2012,3,4070,-9.555555555555555
8.0,2013,0,4714,15.823095823095823
8.0,2013,1,4535,-3.7971998302927448
8.0,2013,2,4145,-8.599779492833518
8.0,2013,3,3989,-3.7635705669481303
8.0,2014,0,4736,18.726497869140136
8.0,2014,1,4557,-3.7795608108108105
8.0,2014,2,4582,0.5486065393899495
8.0,2014,3,3731,-18.57267568747272
8.0,2015,0,3857,3.377110694183865
8.0,2015,1,3855,-0.051853772361939325
8.0,2015,2,4359,13.073929961089496
8.0,2015,3,3842,-11.860518467538427
8.0,2016,0,3803,-1.015096304008329
8.0,2016,1,3870,1.76176702603208
8.0,2016,2,3565,-7.881136950904392
8.0,2016,3,3199,-10.26647966339411
8.0,2017,0,3237,1.1878712097530477
8.0,2017,1,3186,-1.5755329008341055
8.0,2017,2,3166,-0.6277463904582549
8.0,2017,3,2986,-5.685407454200885
8.0,2018,0,3087,3.3824514400535834
8.0,2018,1,2528,-18.10819565921607
8.0,2018,2,2558,1.1867088607594938
8.0,2018,3,2197,-14.112587959343237
8.0,2019,0,2477,12.744651797906236
8.0,2019,1,2437,-1.6148566814695196
8.0,2019,2,2557,4.924086992203529
8.0,2019,3,2107,-17.59874853343762
8.0,2020,0,1989,-5.600379686758425
8.0,2020,1,1413,-28.95927601809955
8.0,2020,2,1155,-18.259023354564754
8.0,2020,3,1535,32.900432900432904
8.0,2021,0,1654,7.752442996742672
8.0,2021,1,1385,-16.26360338573156
8.0,2021,2,1579,14.007220216606498
8.0,2021,3,1502,-4.876504116529449
8.0,2022,0,1866,24.234354194407455
8.0,2022,1,2177,16.666666666666664
8.0,2022,2,2103,-3.3991731740927884
8.0,2022,3,2121,0.8559201141226819
8.0,2023,0,2275,7.2607260726072615
8.0,2023,1,2679,17.75824175824176
9.0,2006,0,4600,
9.0,2006,1,4275,-7.065217391304348
9.0,2006,2,4412,3.2046783625731
9.0,2006,3,4651,5.417044424297371
9.0,2007,0,5386,15.803053106858739
9.0,2007,1,4948,-8.132194578536946
9.0,2007,2,4730,-4.4058205335489085
9.0,2007,3,4290,-9.30232558139535
9.0,2008,0,5314,23.86946386946387
9.0,2008,1,5351,0.6962739932254423
9.0,2008,2,4813,-10.054195477480844
9.0,2008,3,4962,3.0957822563889468
9.0,2009,0,5507,10.98347440548166
9.0,2009,1,5641,2.4332667514072996
9.0,2009,2,5259,-6.771848962949832
9.0,2009,3,5148,-2.110667427267541
9.0,2010,0,5293,2.816627816627817
9.0,2010,1,5543,4.7232193463064425
9.0,2010,2,5076,-8.425040591737327
9.0,2010,3,4793,-5.5752561071710005
9.0,2011,0,5093,6.259127894846651
9.0,2011,1,5214,2.375809935205184
9.0,2011,2,4748,-8.93747602608362
9.0,2011,3,4752,0.08424599831508003
9.0,2012,0,5684,19.612794612794612
9.0,2012,1,4934,-13.19493314567206
9.0,2012,2,4999,1.31738954195379
9.0,2012,3,3764,-24.70494098819764
9.0,2013,0,5103,35.57385759829968
9.0,2013,1,5042,-1.1953752694493436
9.0,2013,2,5010,-0.6346687822292741
9.0,2013,3,4541,-9.361277445109781
9.0,2014,0,4978,9.623430962343097
9.0,2014,1,5207,4.600241060666935
9.0,2014,2,4677,-10.178605723065106
9.0,2014,3,3831,-18.088518280949327
9.0,2015,0,3967,3.5499869485773954
9.0,2015,1,4263,7.461557852281321
9.0,2015,2,4138,-2.932207365704903
9.0,2015,3,3484,-15.80473658772354
9.0,2016,0,3954,13.4902411021814
9.0,2016,1,3939,-0.37936267071320184
9.0,2016,2,3608,-8.403148007108403
9.0,2016,3,3251,-9.894678492239468
9.0,2017,0,3110,-4.337127037834512
9.0,2017,1,3110,0.0
9.0,2017,2,2950,-5.144694533762058
9.0,2017,3,2748,-6.8474576271186445
9.0,2018,0,2723,-0.9097525473071324
9.0,2018,1,2258,-17.076753580609623
9.0,2018,2,2263,0.22143489813994688
9.0,2018,3,1992,-11.975254087494475
9.0,2019,0,2233,12.098393574297189
9.0,2019,1,2287,2.418271383788625
9.0,2019,2,2060,-9.925666812418015
9.0,2019,3,1810,-12.135922330097088
9.0,2020,0,1828,0.9944751381215469
9.0,2020,1,1078,-41.02844638949672
9.0,2020,2,900,-16.512059369202227
9.0,2020,3,1460,62.22222222222222
9.0,2021,0,1610,10.273972602739725
9.0,2021,1,1454,-9.68944099378882
9.0,2021,2,1717,18.088033012379643
9.0,2021,3,1539,-10.36691904484566
9.0,2022,0,1746,13.450292397660817
9.0,2022,1,1756,0.572737686139748
9.0,2022,2,1500,-14.578587699316628
9.0,2022,3,1805,20.333333333333332
9.0,2023,0,1725,-4.43213296398892
9.0,2023,1,1728,0.17391304347826086
10.0,2006,0,2697,
10.0,2006,1,2369,-12.161661104931405
10.0,2006,2,2654,12.030392570704938
10.0,2006,3,2391,-9.909570459683497
10.0,2007,0,3515,47.00961940610623
10.0,2007,1,2636,-25.00711237553343
10.0,2007,2,2728,3.490136570561457
10.0,2007,3,2887,5.828445747800586
10.0,2008,0,3370,16.73016972635954
10.0,2008,1,2890,-14.243323442136498
10.0,2008,2,2651,-8.269896193771627
10.0,2008,3,2384,-10.07167106752169
10.0,2009,0,2958,24.07718120805369
10.0,2009,1,2785,-5.848546315077755
10.0,2009,2,2426,-12.890484739676841
10.0,2009,3,2802,15.49876339653751
10.0,2010,0,2748,-1.9271948608137044
10.0,2010,1,2845,3.529839883551674
10.0,2010,2,2333,-17.996485061511425
10.0,2010,3,2590,11.015859408486927
10.0,2011,0,2480,-4.247104247104247
10.0,2011,1,2636,6.290322580645161
10.0,2011,2,2797,6.107738998482549
10.0,2011,3,2413,-13.728995352163032
10.0,2012,0,2754,14.13178615830916
10.0,2012,1,2676,-2.832244008714597
10.0,2012,2,2556,-4.484304932735426
10.0,2012,3,2202,-13.849765258215962
10.0,2013,0,2683,21.84377838328792
10.0,2013,1,2484,-7.417070443533358
10.0,2013,2,2275,-8.413848631239935
10.0,2013,3,2292,0.7472527472527473
10.0,2014,0,2656,15.881326352530541
10.0,2014,1,2711,2.0707831325301207
10.0,2014,2,2235,-17.558096643305056
10.0,2014,3,2132,-4.608501118568233
10.0,2015,0,2287,7.270168855534709
10.0,2015,1,1989,-13.030170529077395
10.0,2015,2,1915,-3.720462543991956
10.0,2015,3,1899,-0.835509138381201
10.0,2016,0,1946,2.474986835176409
10.0,2016,1,2023,3.9568345323741005
10.0,2016,2,1910,-5.585763717251607
10.0,2016,3,1888,-1.1518324607329842
10.0,2017,0,2024,7.203389830508475
10.0,2017,1,1771,-12.5
