Zipcode,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
10014.0,2019,1214,-9.806835066864785
10014.0,2020,1051,-13.42668863261944
10014.0,2021,948,-9.800190294957185
10014.0,2022,1206,27.21518987341772
10014.0,2023,695,-42.37147595356551
10016.0,2006,1533,
10016.0,2007,1853,20.874103065883887
10016.0,2008,1702,-8.148947652455478
10016.0,2009,1870,9.870740305522913
10016.0,2010,1801,-3.689839572192513
10016.0,2011,1895,5.219322598556357
10016.0,2012,1931,1.8997361477572559
10016.0,2013,1773,-8.182288969445883
10016.0,2014,1565,-11.731528482797518
10016.0,2015,1670,6.7092651757188495
10016.0,2016,1374,-17.724550898203592
10016.0,2017,1209,-12.008733624454148
10016.0,2018,980,-18.941273779983458
10016.0,2019,871,-11.122448979591837
10016.0,2020,409,-53.04247990815155
10016.0,2021,572,39.85330073349633
10016.0,2022,700,22.377622377622377
10016.0,2023,365,-47.85714285714286
10017.0,2006,854,
10017.0,2007,933,9.250585480093678
10017.0,2008,801,-14.14790996784566
10017.0,2009,926,15.605493133583021
10017.0,2010,900,-2.8077753779697625
10017.0,2011,815,-9.444444444444445
10017.0,2012,812,-0.36809815950920244
10017.0,2013,971,19.58128078817734
10017.0,2014,977,0.6179196704428425
10017.0,2015,943,-3.480040941658137
10017.0,2016,992,5.1961823966065745
10017.0,2017,821,-17.237903225806452
10017.0,2018,686,-16.443361753958587
10017.0,2019,623,-9.183673469387756
10017.0,2020,306,-50.88282504012841
10017.0,2021,427,39.54248366013072
10017.0,2022,473,10.772833723653395
10017.0,2023,305,-35.517970401691336
10018.0,2006,4143,
10018.0,2007,4025,-2.8481776490465847
10018.0,2008,3980,-1.1180124223602486
10018.0,2009,3771,-5.251256281407035
10018.0,2010,3577,-5.144523998939273
10018.0,2011,3249,-9.169695275370422
10018.0,2012,3146,-3.1702062172976304
10018.0,2013,3078,-2.161474888747616
10018.0,2014,3160,2.6640675763482777
10018.0,2015,2933,-7.183544303797468
10018.0,2016,2721,-7.228094101602454
10018.0,2017,2507,-7.864755604557148
10018.0,2018,2526,0.7578779417630634
10018.0,2019,2028,-19.71496437054632
10018.0,2020,1288,-36.489151873767256
10018.0,2021,1986,54.192546583850934
10018.0,2022,2579,29.85901309164149
10018.0,2023,1295,-49.78673904614192
10019.0,2006,2480,
10019.0,2007,2716,9.516129032258064
10019.0,2008,2624,-3.3873343151693667
10019.0,2009,2943,12.15701219512195
10019.0,2010,3207,8.970438328236494
10019.0,2011,3323,3.617087620829436
10019.0,2012,3174,-4.483900090279867
10019.0,2013,3608,13.673597983616887
10019.0,2014,4139,14.71729490022173
10019.0,2015,3497,-15.510992993476686
10019.0,2016,3063,-12.410637689448098
10019.0,2017,3122,1.9262161279791055
10019.0,2018,2534,-18.83408071748879
10019.0,2019,2151,-15.114443567482242
10019.0,2020,1391,-35.33240353324035
10019.0,2021,1765,26.887131560028756
10019.0,2022,2031,15.070821529745043
10019.0,2023,1049,-48.3505662235352
10020.0,2006,188,
10020.0,2007,373,98.40425531914893
10020.0,2008,296,-20.64343163538874
10020.0,2009,321,8.445945945945946
10020.0,2010,344,7.165109034267912
10020.0,2011,236,-31.3953488372093
10020.0,2012,183,-22.45762711864407
10020.0,2013,183,0.0
10020.0,2014,156,-14.754098360655737
10020.0,2015,144,-7.6923076923076925
10020.0,2016,229,59.02777777777778
10020.0,2017,335,46.288209606986904
10020.0,2018,323,-3.582089552238806
10020.0,2019,209,-35.294117647058826
10020.0,2020,71,-66.02870813397129
10020.0,2021,120,69.01408450704226
10020.0,2022,241,100.83333333333333
10020.0,2023,112,-53.52697095435685
10021.0,2006,351,
10021.0,2007,287,-18.233618233618234
10021.0,2008,250,-12.89198606271777
10021.0,2009,237,-5.2
10021.0,2010,251,5.9071729957805905
10021.0,2011,273,8.764940239043826
10021.0,2012,262,-4.029304029304029
10021.0,2013,232,-11.450381679389313
10021.0,2014,255,9.913793103448276
10021.0,2015,162,-36.470588235294116
10021.0,2016,180,11.11111111111111
10021.0,2017,218,21.11111111111111
10021.0,2018,156,-28.440366972477065
10021.0,2019,184,17.94871794871795
10021.0,2020,141,-23.369565217391305
10021.0,2021,129,-8.51063829787234
10021.0,2022,288,123.25581395348837
10021.0,2023,200,-30.555555555555557
10022.0,2006,1672,
10022.0,2007,1722,2.9904306220095696
10022.0,2008,1733,0.6387921022067364
10022.0,2009,1741,0.4616272360069244
10022.0,2010,1649,-5.284319356691556
10022.0,2011,1868,13.28077622801698
10022.0,2012,1671,-10.546038543897216
10022.0,2013,1731,3.5906642728904847
10022.0,2014,1686,-2.5996533795493932
10022.0,2015,1439,-14.65005931198102
10022.0,2016,1333,-7.366226546212648
10022.0,2017,1517,13.80345086271568
10022.0,2018,1373,-9.492419248516809
10022.0,2019,1152,-16.096139839766934
10022.0,2020,715,-37.93402777777778
10022.0,2021,706,-1.2587412587412588
10022.0,2022,795,12.606232294617564
10022.0,2023,334,-57.9874213836478
10023.0,2006,1565,
10023.0,2007,1645,5.111821086261981
10023.0,2008,1671,1.5805471124620063
10023.0,2009,1813,8.497905445840814
10023.0,2010,1665,-8.16326530612245
10023.0,2011,1699,2.0420420420420418
10023.0,2012,1450,-14.655679811653913
10023.0,2013,1455,0.3448275862068966
10023.0,2014,1554,6.804123711340206
