State_Assembly_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
32.0,2010,2,2374,-7.734162456276719
32.0,2010,3,2095,-11.752316764953665
32.0,2011,0,2377,13.460620525059666
32.0,2011,1,2475,4.122843920908709
32.0,2011,2,2168,-12.404040404040403
32.0,2011,3,2002,-7.656826568265683
32.0,2012,0,2583,29.02097902097902
32.0,2012,1,2539,-1.7034456058846303
32.0,2012,2,2823,11.185506104765656
32.0,2012,3,2150,-23.83988664541268
32.0,2013,0,2763,28.511627906976745
32.0,2013,1,2821,2.099167571480275
32.0,2013,2,2966,5.140021269053527
32.0,2013,3,2920,-1.5509103169251517
32.0,2014,0,3158,8.150684931506849
32.0,2014,1,3064,-2.9765674477517416
32.0,2014,2,3432,12.010443864229766
32.0,2014,3,2663,-22.406759906759905
32.0,2015,0,2697,1.2767555388659406
32.0,2015,1,2819,4.523544679273266
32.0,2015,2,2724,-3.3699893579283433
32.0,2015,3,2478,-9.030837004405285
32.0,2016,0,2421,-2.3002421307506054
32.0,2016,1,2200,-9.12845931433292
32.0,2016,2,2090,-5.0
32.0,2016,3,1871,-10.47846889952153
32.0,2017,0,2041,9.086050240513096
32.0,2017,1,1943,-4.8015678588926995
32.0,2017,2,1743,-10.29336078229542
32.0,2017,3,1760,0.9753298909925416
32.0,2018,0,1761,0.056818181818181816
32.0,2018,1,1796,1.9875070982396368
32.0,2018,2,1790,-0.33407572383073497
32.0,2018,3,1695,-5.307262569832402
32.0,2019,0,1783,5.191740412979351
32.0,2019,1,1727,-3.140773976444195
32.0,2019,2,1694,-1.910828025477707
32.0,2019,3,1454,-14.167650531286895
32.0,2020,0,1302,-10.453920220082532
32.0,2020,1,851,-34.63901689708141
32.0,2020,2,766,-9.9882491186839
32.0,2020,3,954,24.54308093994778
32.0,2021,0,1078,12.997903563941298
32.0,2021,1,1010,-6.307977736549166
32.0,2021,2,1070,5.9405940594059405
32.0,2021,3,961,-10.186915887850468
32.0,2022,0,1001,4.162330905306972
32.0,2022,1,1097,9.59040959040959
32.0,2022,2,1206,9.936189608021879
32.0,2022,3,1216,0.8291873963515755
32.0,2023,0,1531,25.904605263157894
32.0,2023,1,1825,19.203135205747877
33.0,2006,0,862,
