State_Senate_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
22.0,2015,4610,-6.26270841805612
22.0,2016,4407,-4.403470715835141
22.0,2017,4148,-5.877013841615612
22.0,2018,3687,-11.113789778206366
22.0,2019,3543,-3.9056143205858422
22.0,2020,2489,-29.748800451594693
22.0,2021,2744,10.245078344716754
22.0,2022,3198,16.545189504373177
22.0,2023,1784,-44.215134459036896
23.0,2006,13236,
23.0,2007,13958,5.454820187367785
23.0,2008,15303,9.636051010173377
23.0,2009,15037,-1.7382212638044827
23.0,2010,14761,-1.835472501163796
23.0,2011,13921,-5.690671363728745
23.0,2012,13025,-6.436319229940378
23.0,2013,12834,-1.4664107485604605
23.0,2014,13771,7.30091943275674
23.0,2015,12584,-8.61956284946627
23.0,2016,13130,4.338842975206612
23.0,2017,11961,-8.903274942878902
23.0,2018,11083,-7.340523367611404
23.0,2019,9443,-14.797437516917803
23.0,2020,6526,-30.89060679868686
23.0,2021,7405,13.469200122586578
23.0,2022,8526,15.13841998649561
23.0,2023,5154,-39.549612948627725
24.0,2006,4814,
24.0,2007,4634,-3.739094308267553
24.0,2008,5681,22.59387138541217
24.0,2009,5301,-6.688963210702341
24.0,2010,5636,6.319562346727032
24.0,2011,5642,0.10645848119233499
24.0,2012,5132,-9.039347749025168
24.0,2013,5095,-0.7209664848012471
24.0,2014,4930,-3.23846908734053
24.0,2015,4189,-15.030425963488844
24.0,2016,4479,6.922893291955121
24.0,2017,4183,-6.608617995088189
24.0,2018,3737,-10.662204159694
24.0,2019,3178,-14.958522879314959
24.0,2020,2155,-32.19005663939585
24.0,2021,2424,12.482598607888631
24.0,2022,2835,16.955445544554458
24.0,2023,1621,-42.82186948853616
25.0,2006,20989,
25.0,2007,24660,17.490113869169566
25.0,2008,23543,-4.529602595296026
25.0,2009,26994,14.65828484050461
25.0,2010,26646,-1.2891753723049566
25.0,2011,26507,-0.5216542820686032
25.0,2012,26098,-1.5429886445089975
25.0,2013,24537,-5.981301249137865
25.0,2014,22311,-9.072013693605575
25.0,2015,18676,-16.292411814799877
25.0,2016,17273,-7.512315270935961
25.0,2017,14134,-18.172870954669136
25.0,2018,11993,-15.147870383472478
25.0,2019,9877,-17.643625448178106
25.0,2020,7129,-27.822213222638453
25.0,2021,7061,-0.9538504699116286
25.0,2022,9480,34.258603597224194
25.0,2023,5828,-38.52320675105485
26.0,2006,13165,
26.0,2007,13218,0.40258260539308777
26.0,2008,13113,-0.7943713118474808
26.0,2009,13477,2.775871272782735
26.0,2010,13797,2.3744156711434297
26.0,2011,13454,-2.486047691527143
26.0,2012,12985,-3.4859521331945893
26.0,2013,12395,-4.543704274162495
26.0,2014,12700,2.4606696248487294
26.0,2015,11880,-6.456692913385827
26.0,2016,12839,8.072390572390573
26.0,2017,13239,3.1155074382740087
26.0,2018,11309,-14.578140342926202
26.0,2019,9674,-14.457511716332125
26.0,2020,5601,-42.1025428984908
26.0,2021,5977,6.71308694875915
26.0,2022,7556,26.417935419106577
26.0,2023,4734,-37.34780307040763
27.0,2006,19059,
27.0,2007,20880,9.55454116165591
27.0,2008,20745,-0.646551724137931
27.0,2009,22102,6.541335261508798
27.0,2010,22202,0.452447742285766
27.0,2011,22804,2.711467435366183
27.0,2012,22499,-1.3374846518154708
27.0,2013,21420,-4.7957687008311485
27.0,2014,20477,-4.402427637721756
27.0,2015,18628,-9.029643014113395
27.0,2016,17174,-7.805454155035431
27.0,2017,15727,-8.425526959357168
27.0,2018,13851,-11.928530552552935
27.0,2019,12373,-10.670709696050826
27.0,2020,7547,-39.00428352056898
27.0,2021,8609,14.071816615873859
27.0,2022,10752,24.89255430363573
27.0,2023,5771,-46.32626488095239
28.0,2006,16544,
28.0,2007,17851,7.90014506769826
28.0,2008,17625,-1.266035516217579
28.0,2009,18762,6.451063829787235
28.0,2010,20181,7.563159577870163
28.0,2011,19531,-3.220851295773252
28.0,2012,18718,-4.162613281450002
28.0,2013,18541,-0.9456138476332941
28.0,2014,18765,1.2081333261420635
28.0,2015,16738,-10.802025046629362
28.0,2016,14694,-12.211733779424065
28.0,2017,13682,-6.8871648291819785
28.0,2018,11319,-17.270866832334452
28.0,2019,9417,-16.8036045587066
28.0,2020,5112,-45.71519592226824
28.0,2021,6131,19.933489827856025
28.0,2022,8632,40.79269287228837
28.0,2023,5024,-41.79796107506951
29.0,2006,27004,
29.0,2007,28292,4.769663753517998
29.0,2008,28222,-0.24741976530467977
29.0,2009,29415,4.227198639359365
29.0,2010,28583,-2.828488866224715
29.0,2011,27045,-5.380820767589126
29.0,2012,27029,-0.059160658162322056
29.0,2013,26778,-0.928632209848681
29.0,2014,27317,2.0128463664201957
29.0,2015,26125,-4.363583116740491
29.0,2016,23164,-11.333971291866028
29.0,2017,19755,-14.716801934035573
29.0,2018,16712,-15.403695267021009
29.0,2019,15818,-5.349449497367162
29.0,2020,9661,-38.924010620811735
29.0,2021,9698,0.3829831280405755
29.0,2022,13211,36.22396370385646
29.0,2023,7898,-40.21648626144879
30.0,2006,28355,
30.0,2007,30962,9.194145653323929
30.0,2008,30964,0.006459531038046638
30.0,2009,32790,5.897170908151401
30.0,2010,31370,-4.330588594083562
30.0,2011,30234,-3.6212942301562
30.0,2012,30604,1.2237877885823907
30.0,2013,30714,0.35943013985099986
30.0,2014,27972,-8.92752490720844
30.0,2015,23949,-14.382239382239382
30.0,2016,22102,-7.712221804668254
30.0,2017,17826,-19.346665460139352
30.0,2018,14098,-20.91327274767194
30.0,2019,12728,-9.717690452546462
30.0,2020,8477,-33.398805782526715
30.0,2021,10011,18.096024536982423
30.0,2022,10870,8.580561382479273
30.0,2023,5650,-48.02207911683533
31.0,2006,18085,
31.0,2007,21628,19.59082112247719
31.0,2008,20858,-3.5601997410763824
31.0,2009,20860,0.009588647041902388
31.0,2010,19946,-4.381591562799617
31.0,2011,18450,-7.500250676827434
31.0,2012,17228,-6.62330623306233
31.0,2013,16565,-3.8483863478058975
