Neighborhood,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
Greenpoint,2019,2514,-13.429752066115702
Greenpoint,2020,1550,-38.34526650755768
Greenpoint,2021,1983,27.935483870967744
Greenpoint,2022,2437,22.894604135148764
Greenpoint,2023,1434,-41.157160443167825
Greenwich Village - SoHo,2006,8382,
Greenwich Village - SoHo,2007,9403,12.180863755666905
Greenwich Village - SoHo,2008,10092,7.327448686589387
Greenwich Village - SoHo,2009,10518,4.2211652794292505
Greenwich Village - SoHo,2010,10129,-3.6984217531850163
Greenwich Village - SoHo,2011,9733,-3.9095665909764046
Greenwich Village - SoHo,2012,9531,-2.0754135415596426
Greenwich Village - SoHo,2013,9754,2.339733501206589
Greenwich Village - SoHo,2014,9675,-0.8099241336887432
Greenwich Village - SoHo,2015,8403,-13.147286821705425
Greenwich Village - SoHo,2016,7448,-11.364988694513864
Greenwich Village - SoHo,2017,7249,-2.6718582169709992
Greenwich Village - SoHo,2018,6183,-14.705476617464477
Greenwich Village - SoHo,2019,5476,-11.434578683486981
Greenwich Village - SoHo,2020,3600,-34.258582907231556
Greenwich Village - SoHo,2021,4276,18.777777777777775
Greenwich Village - SoHo,2022,4730,10.617399438727784
Greenwich Village - SoHo,2023,2751,-41.83932346723044
High Bridge - Morrisania,2006,16622,
High Bridge - Morrisania,2007,18061,8.657201299482614
High Bridge - Morrisania,2008,18847,4.351918498422014
High Bridge - Morrisania,2009,20741,10.049344723298137
High Bridge - Morrisania,2010,21799,5.101007665975604
High Bridge - Morrisania,2011,20680,-5.1332629937153085
High Bridge - Morrisania,2012,18394,-11.054158607350097
High Bridge - Morrisania,2013,18198,-1.065564858105904
High Bridge - Morrisania,2014,17213,-5.412682712385976
High Bridge - Morrisania,2015,16199,-5.890896415499912
High Bridge - Morrisania,2016,14227,-12.173590962405086
High Bridge - Morrisania,2017,12079,-15.098052997821043
High Bridge - Morrisania,2018,11517,-4.652703038330987
High Bridge - Morrisania,2019,10238,-11.105322566640618
High Bridge - Morrisania,2020,5287,-48.359054502832585
High Bridge - Morrisania,2021,6897,30.452052203518065
High Bridge - Morrisania,2022,8763,27.055241409308394
High Bridge - Morrisania,2023,5568,-36.46011639849366
Hunts Point - Mott Haven,2006,15322,
Hunts Point - Mott Haven,2007,16912,10.377235347865813
Hunts Point - Mott Haven,2008,17273,2.134578997161779
Hunts Point - Mott Haven,2009,17701,2.4778556128061133
Hunts Point - Mott Haven,2010,17060,-3.6212643353482856
Hunts Point - Mott Haven,2011,17502,2.5908558030480657
Hunts Point - Mott Haven,2012,16750,-4.296651811221574
Hunts Point - Mott Haven,2013,16792,0.2507462686567164
Hunts Point - Mott Haven,2014,18101,7.795378751786565
Hunts Point - Mott Haven,2015,16741,-7.513397049886747
Hunts Point - Mott Haven,2016,14615,-12.699360850606295
Hunts Point - Mott Haven,2017,11820,-19.124187478617856
Hunts Point - Mott Haven,2018,10040,-15.059221658206429
Hunts Point - Mott Haven,2019,9082,-9.54183266932271
Hunts Point - Mott Haven,2020,7339,-19.191807971812377
Hunts Point - Mott Haven,2021,5876,-19.934595994004635
Hunts Point - Mott Haven,2022,6899,17.409802586793738
Hunts Point - Mott Haven,2023,4932,-28.51137846064647
JFK Airport,2006,0,
JFK Airport,2007,0,0.0
JFK Airport,2008,0,0.0
JFK Airport,2009,0,0.0
JFK Airport,2010,0,0.0
JFK Airport,2011,0,0.0
JFK Airport,2012,0,0.0
JFK Airport,2013,0,0.0
JFK Airport,2014,0,0.0
JFK Airport,2015,0,0.0
JFK Airport,2016,0,0.0
JFK Airport,2017,0,0.0
