Police_Precinct,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
9.0,2021,3,459,-1.2903225806451613
9.0,2022,0,496,8.061002178649238
9.0,2022,1,499,0.6048387096774194
9.0,2022,2,459,-8.016032064128256
9.0,2022,3,435,-5.228758169934641
9.0,2023,0,466,7.126436781609195
9.0,2023,1,548,17.59656652360515
10.0,2006,0,1000,
10.0,2006,1,1027,2.7
10.0,2006,2,1168,13.729308666017525
10.0,2006,3,1044,-10.616438356164384
10.0,2007,0,1022,-2.10727969348659
10.0,2007,1,967,-5.38160469667319
10.0,2007,2,819,-15.305067218200621
10.0,2007,3,909,10.989010989010989
10.0,2008,0,934,2.7502750275027505
10.0,2008,1,1009,8.029978586723768
10.0,2008,2,1124,11.397423191278493
10.0,2008,3,1082,-3.7366548042704624
10.0,2009,0,1003,-7.3012939001848425
10.0,2009,1,1050,4.685942173479561
10.0,2009,2,977,-6.9523809523809526
10.0,2009,3,925,-5.322415557830093
10.0,2010,0,987,6.702702702702703
10.0,2010,1,974,-1.3171225937183384
10.0,2010,2,883,-9.342915811088295
10.0,2010,3,826,-6.455266138165346
10.0,2011,0,782,-5.326876513317192
10.0,2011,1,998,27.621483375959077
10.0,2011,2,937,-6.112224448897796
10.0,2011,3,871,-7.043756670224119
10.0,2012,0,913,4.822043628013777
10.0,2012,1,955,4.600219058050383
10.0,2012,2,1063,11.30890052356021
10.0,2012,3,676,-36.40639698965193
10.0,2013,0,1129,67.01183431952663
10.0,2013,1,1017,-9.920283436669619
10.0,2013,2,1140,12.094395280235988
10.0,2013,3,1110,-2.631578947368421
10.0,2014,0,1011,-8.91891891891892
10.0,2014,1,1088,7.6162215628091
10.0,2014,2,1171,7.6286764705882355
10.0,2014,3,916,-21.77625960717336
10.0,2015,0,906,-1.0917030567685588
10.0,2015,1,977,7.836644591611479
10.0,2015,2,1187,21.494370522006143
10.0,2015,3,967,-18.53411962931761
10.0,2016,0,1034,6.928645294725956
10.0,2016,1,867,-16.150870406189554
10.0,2016,2,750,-13.494809688581316
10.0,2016,3,790,5.333333333333334
10.0,2017,0,650,-17.72151898734177
