Community_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
106.0,2007,0,875,12.612612612612612
106.0,2007,1,983,12.342857142857143
106.0,2007,2,970,-1.3224821973550356
106.0,2007,3,747,-22.989690721649485
106.0,2008,0,889,19.009370816599734
106.0,2008,1,871,-2.0247469066366706
106.0,2008,2,859,-1.377726750861079
106.0,2008,3,796,-7.334109429569266
106.0,2009,0,1031,29.52261306532663
106.0,2009,1,1031,0.0
106.0,2009,2,957,-7.177497575169737
106.0,2009,3,838,-12.434691745036574
106.0,2010,0,1009,20.405727923627683
106.0,2010,1,972,-3.6669970267591676
106.0,2010,2,1026,5.555555555555555
106.0,2010,3,907,-11.598440545808966
106.0,2011,0,1170,28.996692392502755
106.0,2011,1,1342,14.700854700854702
106.0,2011,2,967,-27.943368107302536
106.0,2011,3,980,1.344364012409514
106.0,2012,0,1143,16.632653061224488
106.0,2012,1,1152,0.7874015748031495
106.0,2012,2,1120,-2.7777777777777777
106.0,2012,3,946,-15.535714285714286
106.0,2013,0,1147,21.24735729386892
106.0,2013,1,1207,5.231037489102005
106.0,2013,2,1068,-11.516155758077879
106.0,2013,3,1149,7.584269662921349
106.0,2014,0,1295,12.706701479547434
106.0,2014,1,1328,2.5482625482625485
106.0,2014,2,1189,-10.466867469879517
106.0,2014,3,911,-23.38099243061396
106.0,2015,0,998,9.549945115257959
106.0,2015,1,1003,0.501002004008016
106.0,2015,2,1247,24.32701894317049
106.0,2015,3,1113,-10.7457898957498
106.0,2016,0,1143,2.6954177897574128
106.0,2016,1,868,-24.059492563429572
106.0,2016,2,775,-10.714285714285714
106.0,2016,3,812,4.774193548387097
106.0,2017,0,898,10.591133004926109
106.0,2017,1,931,3.6748329621380846
106.0,2017,2,836,-10.204081632653061
106.0,2017,3,889,6.339712918660287
106.0,2018,0,809,-8.998875140607424
106.0,2018,1,809,0.0
106.0,2018,2,776,-4.07911001236094
106.0,2018,3,650,-16.237113402061855
106.0,2019,0,799,22.923076923076923
106.0,2019,1,781,-2.252816020025031
106.0,2019,2,710,-9.090909090909092
106.0,2019,3,604,-14.929577464788732
106.0,2020,0,600,-0.6622516556291391
106.0,2020,1,339,-43.5
106.0,2020,2,445,31.268436578171094
106.0,2020,3,552,24.044943820224717
106.0,2021,0,546,-1.0869565217391304
106.0,2021,1,504,-7.6923076923076925
106.0,2021,2,562,11.507936507936508
106.0,2021,3,525,-6.583629893238434
106.0,2022,0,730,39.04761904761905
106.0,2022,1,736,0.821917808219178
106.0,2022,2,590,-19.83695652173913
106.0,2022,3,596,1.0169491525423728
106.0,2023,0,579,-2.8523489932885906
106.0,2023,1,654,12.953367875647666
107.0,2006,0,1225,
107.0,2006,1,1320,7.755102040816326
107.0,2006,2,1218,-7.727272727272727
107.0,2006,3,1376,12.97208538587849
107.0,2007,0,1576,14.534883720930234
107.0,2007,1,1584,0.5076142131979695
107.0,2007,2,1522,-3.9141414141414144
107.0,2007,3,1331,-12.549277266754272
107.0,2008,0,1558,17.054845980465817
107.0,2008,1,1474,-5.391527599486521
107.0,2008,2,1355,-8.07327001356852
107.0,2008,3,1332,-1.6974169741697416
107.0,2009,0,1650,23.873873873873876
107.0,2009,1,1475,-10.606060606060606
107.0,2009,2,1453,-1.4915254237288136
107.0,2009,3,1322,-9.015829318651067
107.0,2010,0,1441,9.001512859304086
107.0,2010,1,1395,-3.1922276197085355
107.0,2010,2,1391,-0.2867383512544803
107.0,2010,3,1214,-12.724658519051044
107.0,2011,0,1424,17.298187808896213
107.0,2011,1,1340,-5.8988764044943816
107.0,2011,2,1139,-15.0
107.0,2011,3,1176,3.2484635645302897
107.0,2012,0,1298,10.374149659863946
107.0,2012,1,1363,5.007704160246533
107.0,2012,2,1369,0.4402054292002935
107.0,2012,3,1159,-15.339663988312639
107.0,2013,0,1398,20.621225194132872
107.0,2013,1,1242,-11.158798283261802
107.0,2013,2,1199,-3.462157809983897
107.0,2013,3,1181,-1.5012510425354462
107.0,2014,0,1259,6.604572396274344
107.0,2014,1,1392,10.563939634630659
107.0,2014,2,1313,-5.675287356321839
107.0,2014,3,1118,-14.85148514851485
107.0,2015,0,1103,-1.3416815742397137
107.0,2015,1,1289,16.86310063463282
107.0,2015,2,1231,-4.499612102404965
107.0,2015,3,1015,-17.546709991876522
107.0,2016,0,1131,11.428571428571429
107.0,2016,1,1099,-2.829354553492484
107.0,2016,2,1039,-5.45950864422202
107.0,2016,3,966,-7.025986525505294
107.0,2017,0,1051,8.799171842650104
107.0,2017,1,1175,11.798287345385347
107.0,2017,2,989,-15.829787234042552
107.0,2017,3,929,-6.066734074823053
107.0,2018,0,1020,9.795479009687837
107.0,2018,1,838,-17.84313725490196
107.0,2018,2,788,-5.966587112171838
107.0,2018,3,819,3.934010152284264
107.0,2019,0,748,-8.669108669108669
107.0,2019,1,760,1.6042780748663104
107.0,2019,2,720,-5.263157894736842
107.0,2019,3,666,-7.5
107.0,2020,0,666,0.0
107.0,2020,1,398,-40.24024024024024
107.0,2020,2,451,13.316582914572864
107.0,2020,3,522,15.74279379157428
107.0,2021,0,660,26.436781609195403
107.0,2021,1,519,-21.363636363636363
107.0,2021,2,623,20.03853564547206
107.0,2021,3,723,16.051364365971107
107.0,2022,0,667,-7.745504840940526
107.0,2022,1,764,14.54272863568216
107.0,2022,2,716,-6.282722513089005
107.0,2022,3,676,-5.58659217877095
107.0,2023,0,759,12.278106508875739
107.0,2023,1,777,2.371541501976284
108.0,2006,0,986,
108.0,2006,1,909,-7.809330628803246
108.0,2006,2,927,1.9801980198019802
108.0,2006,3,974,5.070118662351672
108.0,2007,0,934,-4.1067761806981515
108.0,2007,1,966,3.4261241970021414
108.0,2007,2,992,2.691511387163561
108.0,2007,3,929,-6.350806451612903
108.0,2008,0,826,-11.08719052744887
108.0,2008,1,835,1.0895883777239708
108.0,2008,2,906,8.502994011976048
108.0,2008,3,773,-14.67991169977925
108.0,2009,0,887,14.747736093143596
108.0,2009,1,874,-1.4656144306651635
108.0,2009,2,688,-21.28146453089245
108.0,2009,3,817,18.75
108.0,2010,0,807,-1.2239902080783354
108.0,2010,1,767,-4.956629491945478
108.0,2010,2,822,7.170795306388526
108.0,2010,3,821,-0.12165450121654502
108.0,2011,0,853,3.8976857490864796
108.0,2011,1,859,0.7033997655334115
108.0,2011,2,746,-13.154831199068685
108.0,2011,3,858,15.013404825737265
108.0,2012,0,855,-0.34965034965034963
108.0,2012,1,814,-4.7953216374269
108.0,2012,2,917,12.653562653562652
108.0,2012,3,852,-7.088331515812432
108.0,2013,0,874,2.5821596244131455
108.0,2013,1,842,-3.6613272311212817
108.0,2013,2,788,-6.413301662707839
108.0,2013,3,722,-8.375634517766498
108.0,2014,0,722,0.0
108.0,2014,1,862,19.390581717451525
108.0,2014,2,768,-10.904872389791183
108.0,2014,3,687,-10.546875
108.0,2015,0,659,-4.075691411935954
108.0,2015,1,740,12.291350531107739
108.0,2015,2,742,0.2702702702702703
108.0,2015,3,719,-3.0997304582210243
108.0,2016,0,760,5.702364394993046
108.0,2016,1,751,-1.1842105263157896
108.0,2016,2,713,-5.0599201065246335
108.0,2016,3,681,-4.488078541374474
108.0,2017,0,686,0.7342143906020557
108.0,2017,1,719,4.810495626822157
108.0,2017,2,782,8.762169680111267
108.0,2017,3,710,-9.207161125319693
108.0,2018,0,684,-3.6619718309859155
108.0,2018,1,556,-18.71345029239766
108.0,2018,2,547,-1.618705035971223
108.0,2018,3,598,9.323583180987203
108.0,2019,0,607,1.5050167224080269
108.0,2019,1,625,2.9654036243822075
108.0,2019,2,592,-5.28
108.0,2019,3,632,6.756756756756757
108.0,2020,0,517,-18.196202531645568
108.0,2020,1,303,-41.3926499032882
108.0,2020,2,273,-9.900990099009901
108.0,2020,3,407,49.08424908424908
108.0,2021,0,398,-2.211302211302211
108.0,2021,1,349,-12.311557788944723
108.0,2021,2,393,12.607449856733524
108.0,2021,3,427,8.651399491094146
108.0,2022,0,458,7.259953161592506
108.0,2022,1,581,26.85589519650655
108.0,2022,2,593,2.0654044750430294
108.0,2022,3,585,-1.3490725126475547
108.0,2023,0,514,-12.136752136752136
108.0,2023,1,539,4.863813229571985
109.0,2006,0,1811,
109.0,2006,1,1673,-7.620099392600774
109.0,2006,2,1853,10.759115361625822
109.0,2006,3,1698,-8.364813815434431
109.0,2007,0,2162,27.326266195524145
109.0,2007,1,1963,-9.204440333024976
109.0,2007,2,2184,11.258278145695364
109.0,2007,3,1801,-17.536630036630036
109.0,2008,0,2047,13.659078289838977
109.0,2008,1,1978,-3.3707865168539324
109.0,2008,2,1906,-3.640040444893832
109.0,2008,3,1814,-4.826862539349422
109.0,2009,0,2221,22.436604189636164
109.0,2009,1,2167,-2.4313372354795137
109.0,2009,2,2403,10.890632210429164
109.0,2009,3,1912,-20.4327923429047
109.0,2010,0,1895,-0.889121338912134
109.0,2010,1,1809,-4.538258575197889
109.0,2010,2,1976,9.231619679380874
109.0,2010,3,2038,3.137651821862348
109.0,2011,0,2164,6.182531894013739
109.0,2011,1,1932,-10.720887245841034
109.0,2011,2,1827,-5.434782608695652
109.0,2011,3,1819,-0.4378762999452655
109.0,2012,0,2197,20.780648708081365
109.0,2012,1,2015,-8.284023668639055
109.0,2012,2,2119,5.161290322580645
109.0,2012,3,1789,-15.573383671543182
109.0,2013,0,2155,20.458356623812186
109.0,2013,1,2333,8.25986078886311
109.0,2013,2,2206,-5.443634804972139
109.0,2013,3,1814,-17.769718948322758
109.0,2014,0,1873,3.252480705622933
109.0,2014,1,1910,1.9754404698344903
109.0,2014,2,1541,-19.319371727748692
109.0,2014,3,1626,5.515898767034393
109.0,2015,0,1492,-8.241082410824108
109.0,2015,1,1760,17.962466487935657
109.0,2015,2,1745,-0.8522727272727272
109.0,2015,3,1322,-24.240687679083095
109.0,2016,0,1497,13.2375189107413
109.0,2016,1,1387,-7.348029392117568
109.0,2016,2,1307,-5.767844268204758
109.0,2016,3,1225,-6.2739097169089515
109.0,2017,0,1080,-11.83673469387755
109.0,2017,1,1051,-2.685185185185185
109.0,2017,2,910,-13.415794481446241
109.0,2017,3,947,4.065934065934066
109.0,2018,0,991,4.646251319957761
109.0,2018,1,850,-14.228052472250251
109.0,2018,2,856,0.7058823529411765
