Community_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
203.0,2012,6027,-12.753329473074695
203.0,2013,6144,1.9412643106022895
203.0,2014,6225,1.318359375
203.0,2015,5417,-12.979919678714861
203.0,2016,5603,3.4336348532398
203.0,2017,5048,-9.905407817240764
203.0,2018,4184,-17.11568938193344
203.0,2019,3683,-11.974187380497133
203.0,2020,2495,-32.25631278848765
203.0,2021,3057,22.5250501002004
203.0,2022,3168,3.631010794896958
203.0,2023,2104,-33.58585858585859
204.0,2006,12475,
204.0,2007,14441,15.759519038076153
204.0,2008,14581,0.9694619486185166
204.0,2009,15112,3.6417255332281737
204.0,2010,16240,7.464266807834834
204.0,2011,15415,-5.080049261083744
204.0,2012,13667,-11.33960428154395
204.0,2013,13031,-4.65354503548694
204.0,2014,11435,-12.24771698258
204.0,2015,11132,-2.64975951027547
204.0,2016,9457,-15.046712181099533
204.0,2017,7952,-15.914137675795706
204.0,2018,7447,-6.350603621730383
204.0,2019,6716,-9.816033302000806
204.0,2020,3988,-40.61941631923764
204.0,2021,4573,14.66900702106319
204.0,2022,5860,28.143450688825716
204.0,2023,3776,-35.563139931740615
205.0,2006,11257,
205.0,2007,12285,9.132095584969353
205.0,2008,12716,3.508343508343508
205.0,2009,12247,-3.6882667505504876
205.0,2010,9981,-18.502490405813667
205.0,2011,9226,-7.564372307384029
205.0,2012,8563,-7.186212876652938
205.0,2013,7651,-10.650472965082331
205.0,2014,7860,2.7316690628675993
205.0,2015,6331,-19.452926208651398
205.0,2016,5545,-12.415100300110566
205.0,2017,5327,-3.9314697926059514
205.0,2018,5617,5.443964708090858
205.0,2019,4615,-17.838703934484602
205.0,2020,3303,-28.429035752979416
205.0,2021,3210,-2.815622161671208
205.0,2022,4516,40.68535825545172
205.0,2023,2589,-42.67050487156776
206.0,2006,5181,
206.0,2007,7515,45.04921829762594
206.0,2008,6800,-9.514304723885562
206.0,2009,7227,6.279411764705882
206.0,2010,7535,4.26179604261796
206.0,2011,6502,-13.709356337093565
206.0,2012,6540,0.584435558289757
206.0,2013,6962,6.4525993883792045
206.0,2014,6548,-5.94656707842574
206.0,2015,6002,-8.338423946243127
206.0,2016,5622,-6.331222925691436
206.0,2017,4907,-12.71789398790466
206.0,2018,4472,-8.864886896270633
206.0,2019,3501,-21.7128801431127
206.0,2020,2523,-27.934875749785775
206.0,2021,2498,-0.9908838684106223
206.0,2022,3186,27.542033626901517
