State_Assembly_District,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
36.0,2022,3235,11.359724612736661
36.0,2023,1518,-53.0757341576507
37.0,2006,3535,
37.0,2007,3408,-3.592644978783593
37.0,2008,3298,-3.227699530516432
37.0,2009,3117,-5.4881746513038205
37.0,2010,3536,13.442412576195059
37.0,2011,3307,-6.476244343891404
37.0,2012,2922,-11.641971575446023
37.0,2013,3028,3.6276522929500343
37.0,2014,3051,0.7595772787318362
37.0,2015,2486,-18.51851851851852
37.0,2016,2163,-12.992759452936445
37.0,2017,2262,4.5769764216366156
37.0,2018,2065,-8.709106984969054
37.0,2019,1878,-9.055690072639225
37.0,2020,1237,-34.132055378061764
37.0,2021,1663,34.438156831042846
37.0,2022,1848,11.124473842453398
37.0,2023,1061,-42.58658008658009
38.0,2006,3752,
38.0,2007,3610,-3.7846481876332625
38.0,2008,3718,2.9916897506925206
38.0,2009,3760,1.1296395911780528
38.0,2010,3880,3.1914893617021276
38.0,2011,3524,-9.175257731958762
38.0,2012,3558,0.9648127128263337
38.0,2013,4060,14.109050028105678
38.0,2014,3718,-8.423645320197044
38.0,2015,3424,-7.907477138246369
38.0,2016,3407,-0.4964953271028037
38.0,2017,3207,-5.8702670971529205
38.0,2018,2401,-25.13252260679763
38.0,2019,1995,-16.909620991253643
38.0,2020,1564,-21.604010025062657
38.0,2021,1651,5.562659846547315
38.0,2022,1914,15.929739551786795
38.0,2023,1157,-39.550679205851615
39.0,2006,5314,
39.0,2007,5573,4.873917952578095
39.0,2008,5697,2.225013457742688
39.0,2009,5573,-2.176584167105494
39.0,2010,5271,-5.418984389018482
39.0,2011,4766,-9.580724720166952
39.0,2012,4348,-8.770457406630298
39.0,2013,4691,7.888684452621895
39.0,2014,4678,-0.2771264122788318
39.0,2015,4382,-6.327490380504488
39.0,2016,3738,-14.696485623003195
39.0,2017,3145,-15.864098448368111
39.0,2018,3031,-3.624801271860095
39.0,2019,2701,-10.887495875948531
39.0,2020,1677,-37.911884487226956
39.0,2021,2019,20.39355992844365
39.0,2022,2455,21.594848935116396
39.0,2023,1649,-32.830957230142566
40.0,2006,3847,
40.0,2007,3616,-6.004678970626462
40.0,2008,3444,-4.756637168141593
40.0,2009,3581,3.977932636469222
40.0,2010,3469,-3.1276179838034066
40.0,2011,4106,18.36264053041222
40.0,2012,3940,-4.042864101315149
40.0,2013,3919,-0.532994923857868
40.0,2014,3716,-5.179892829803522
40.0,2015,3341,-10.091496232508074
40.0,2016,3282,-1.7659383418138281
40.0,2017,3036,-7.495429616087751
40.0,2018,3049,0.4281949934123847
40.0,2019,2575,-15.546080682190883
40.0,2020,1660,-35.53398058252427
40.0,2021,1859,11.987951807228916
40.0,2022,2564,37.92361484669177
40.0,2023,1661,-35.21840873634945
41.0,2006,2347,
41.0,2007,2688,14.529186195142735
41.0,2008,2390,-11.086309523809524
41.0,2009,2512,5.104602510460251
41.0,2010,2522,0.3980891719745223
41.0,2011,2446,-3.013481363996828
41.0,2012,2399,-1.9215044971381847
41.0,2013,2284,-4.793664026677782
41.0,2014,2332,2.1015761821366024
41.0,2015,2141,-8.190394511149227
41.0,2016,2110,-1.4479215319943952
41.0,2017,2007,-4.881516587677725
41.0,2018,1721,-14.25012456402591
41.0,2019,1572,-8.657757117954677
41.0,2020,1202,-23.536895674300254
41.0,2021,1386,15.307820299500833
41.0,2022,1524,9.956709956709958
41.0,2023,910,-40.28871391076115
42.0,2006,5772,
42.0,2007,6155,6.635481635481636
42.0,2008,6030,-2.0308692120227456
42.0,2009,6415,6.384742951907131
42.0,2010,6577,2.525331254871395
42.0,2011,5983,-9.031473316101566
42.0,2012,5915,-1.1365535684439245
42.0,2013,5930,0.25359256128486896
42.0,2014,6396,7.8583473861720075
42.0,2015,5317,-16.869918699186993
42.0,2016,4666,-12.243746473575325
42.0,2017,4533,-2.8504072010287183
42.0,2018,4130,-8.890359585263623
42.0,2019,3389,-17.94188861985472
42.0,2020,2172,-35.91029802301564
42.0,2021,2287,5.294659300184161
42.0,2022,2753,20.376038478355923
42.0,2023,1653,-39.95641118779513
43.0,2006,6315,
43.0,2007,7144,13.127474267616785
43.0,2008,6419,-10.148376259798432
43.0,2009,7129,11.060912914784234
43.0,2010,7742,8.598681441997474
43.0,2011,7404,-4.365796951692069
43.0,2012,6463,-12.709346299297678
43.0,2013,6763,4.641807210273867
43.0,2014,6436,-4.835132337719947
43.0,2015,5484,-14.791796146674955
43.0,2016,5166,-5.798687089715536
43.0,2017,4814,-6.813782423538521
43.0,2018,3994,-17.033651848774408
43.0,2019,3183,-20.305458187280923
43.0,2020,1878,-40.99905749293119
43.0,2021,2205,17.412140575079874
43.0,2022,2441,10.702947845804989
43.0,2023,1451,-40.557148709545274
44.0,2006,2884,
44.0,2007,2963,2.739251040221914
44.0,2008,2455,-17.144785690178875
44.0,2009,2669,8.716904276985742
44.0,2010,2581,-3.2971150243536904
44.0,2011,2573,-0.30995738086013175
44.0,2012,2373,-7.773027594247959
44.0,2013,2218,-6.531816266329541
44.0,2014,2228,0.4508566275924256
44.0,2015,2279,2.289048473967684
44.0,2016,2456,7.766564282580079
44.0,2017,2178,-11.319218241042345
44.0,2018,1865,-14.370982552800735
44.0,2019,1446,-22.466487935656836
44.0,2020,1036,-28.354080221300137
44.0,2021,1116,7.722007722007722
44.0,2022,1373,23.02867383512545
44.0,2023,714,-47.99708667152222
45.0,2006,2523,
45.0,2007,2804,11.137534680935394
45.0,2008,2737,-2.3894436519258204
45.0,2009,2689,-1.7537449762513702
45.0,2010,2435,-9.445890665674971
45.0,2011,2530,3.9014373716632447
45.0,2012,2624,3.7154150197628457
45.0,2013,2588,-1.3719512195121952
45.0,2014,2571,-0.6568778979907265
45.0,2015,2456,-4.472967716841696
45.0,2016,2260,-7.980456026058631
45.0,2017,2123,-6.061946902654867
45.0,2018,1934,-8.902496467263306
45.0,2019,1749,-9.565667011375387
45.0,2020,1246,-28.759291023441968
45.0,2021,1221,-2.0064205457463884
45.0,2022,1375,12.612612612612612
45.0,2023,853,-37.96363636363637
46.0,2006,4977,
46.0,2007,5483,10.166767128792445
46.0,2008,5341,-2.5898230895495167
46.0,2009,5909,10.634712600636584
46.0,2010,5701,-3.520054154679303
46.0,2011,5029,-11.787405718295036
46.0,2012,4620,-8.132829588387354
46.0,2013,4936,6.8398268398268405
46.0,2014,5170,4.7406807131280395
46.0,2015,5345,3.3849129593810443
46.0,2016,5174,-3.1992516370439663
46.0,2017,4826,-6.725937379203711
46.0,2018,4472,-7.335267302113552
46.0,2019,3789,-15.272808586762073
46.0,2020,2427,-35.94615993665875
46.0,2021,2591,6.757313555830242
46.0,2022,2792,7.757622539560015
46.0,2023,1906,-31.733524355300858
47.0,2006,1907,
47.0,2007,2073,8.704771893025695
47.0,2008,2108,1.688374336710082
47.0,2009,2039,-3.273244781783681
47.0,2010,1884,-7.601765571358509
47.0,2011,1839,-2.388535031847134
47.0,2012,1880,2.2294725394236
47.0,2013,1848,-1.702127659574468
47.0,2014,2282,23.484848484848484
47.0,2015,2134,-6.4855390008764235
47.0,2016,2015,-5.576382380506092
47.0,2017,1864,-7.49379652605459
47.0,2018,1312,-29.613733905579398
47.0,2019,1358,3.50609756097561
47.0,2020,928,-31.66421207658321
47.0,2021,1169,25.969827586206897
47.0,2022,1421,21.55688622754491
47.0,2023,820,-42.29415904292752
48.0,2006,1911,
48.0,2007,2009,5.128205128205128
48.0,2008,1859,-7.466401194624191
48.0,2009,1743,-6.239913932221625
48.0,2010,1849,6.081468732071142
48.0,2011,1660,-10.221741481882098
48.0,2012,1751,5.481927710843373
48.0,2013,1909,9.023415191319247
48.0,2014,1974,3.404924044002095
48.0,2015,2117,7.244174265450861
48.0,2016,1954,-7.699574870099197
48.0,2017,1696,-13.203684749232345
48.0,2018,1554,-8.372641509433961
48.0,2019,1517,-2.380952380952381
48.0,2020,1147,-24.390243902439025
48.0,2021,1334,16.303400174367916
48.0,2022,1753,31.40929535232384
48.0,2023,809,-53.85054192812322
49.0,2006,1498,
49.0,2007,1394,-6.942590120160213
49.0,2008,1509,8.24964131994261
49.0,2009,1464,-2.982107355864811
49.0,2010,1523,4.030054644808743
49.0,2011,1488,-2.298095863427446
49.0,2012,1405,-5.577956989247312
49.0,2013,1548,10.177935943060499
49.0,2014,1574,1.6795865633074936
49.0,2015,1377,-12.515883100381195
49.0,2016,1465,6.390704429920116
49.0,2017,1571,7.235494880546075
49.0,2018,1255,-20.11457670273711
49.0,2019,1232,-1.8326693227091633
49.0,2020,812,-34.090909090909086
49.0,2021,957,17.857142857142858
49.0,2022,937,-2.089864158829676
49.0,2023,687,-26.680896478121664
50.0,2006,2313,
50.0,2007,2202,-4.798962386511025
50.0,2008,2426,10.172570390554043
50.0,2009,2520,3.8746908491343777
50.0,2010,2738,8.65079365079365
50.0,2011,2714,-0.8765522279035792
50.0,2012,2757,1.5843773028739867
50.0,2013,3014,9.321726514327167
50.0,2014,2584,-14.26675514266755
50.0,2015,2252,-12.848297213622292
50.0,2016,2203,-2.1758436944937833
50.0,2017,2207,0.18157058556513844
50.0,2018,1685,-23.652016311735387
50.0,2019,1419,-15.786350148367953
50.0,2020,898,-36.71599718111346
50.0,2021,1280,42.53897550111358
50.0,2022,1783,39.296875
50.0,2023,947,-46.88726864834549
51.0,2006,5913,
51.0,2007,5991,1.3191273465246067
51.0,2008,5647,-5.7419462527124026
51.0,2009,5197,-7.968833008677173
51.0,2010,5250,1.019819126419088
51.0,2011,4820,-8.190476190476192
51.0,2012,4925,2.1784232365145226
51.0,2013,4696,-4.649746192893401
51.0,2014,4920,4.770017035775128
51.0,2015,4484,-8.86178861788618
51.0,2016,5110,13.960749330954506
51.0,2017,5537,8.356164383561644
51.0,2018,4838,-12.624164710131842
51.0,2019,4240,-12.36047953699876
51.0,2020,2638,-37.783018867924525
51.0,2021,2741,3.9044730856709626
51.0,2022,3150,14.921561473914629
51.0,2023,1889,-40.03174603174603
52.0,2006,6379,
52.0,2007,6185,-3.041229032763756
52.0,2008,6209,0.3880355699272433
52.0,2009,6828,9.969399259139959
52.0,2010,7016,2.753368482718219
52.0,2011,7159,2.038198403648803
52.0,2012,6630,-7.389300181589607
52.0,2013,6277,-5.324283559577677
52.0,2014,6430,2.4374701290425365
52.0,2015,6088,-5.318818040435459
52.0,2016,6262,2.8580814717477003
52.0,2017,6331,1.1018843819865858
52.0,2018,5377,-15.06870952456168
52.0,2019,4400,-18.16998326204203
52.0,2020,2537,-42.34090909090909
52.0,2021,2659,4.8088293259755615
52.0,2022,4007,50.69575028206093
52.0,2023,2505,-37.484402295982036
53.0,2006,8160,
53.0,2007,8113,-0.5759803921568628
53.0,2008,8584,5.805497349932208
53.0,2009,8351,-2.7143522833178007
53.0,2010,8066,-3.412764938330739
53.0,2011,9350,15.918670964542525
53.0,2012,8051,-13.893048128342244
53.0,2013,8401,4.347286051422183
53.0,2014,7601,-9.52267587192001
53.0,2015,6208,-18.326535982107618
53.0,2016,5834,-6.024484536082475
53.0,2017,5560,-4.696606102159754
53.0,2018,4660,-16.18705035971223
53.0,2019,4266,-8.454935622317597
53.0,2020,2704,-36.61509610876699
53.0,2021,3174,17.381656804733726
53.0,2022,3715,17.04473850031506
53.0,2023,2108,-43.25706594885599
54.0,2006,7796,
54.0,2007,9084,16.521292970754235
54.0,2008,10101,11.19550858652576
54.0,2009,10529,4.237204237204238
54.0,2010,10783,2.4123848418653244
54.0,2011,10788,0.04636928498562552
54.0,2012,10418,-3.4297367445309606
54.0,2013,8970,-13.899020925321558
54.0,2014,7898,-11.950947603121516
54.0,2015,6449,-18.34641681438339
54.0,2016,5622,-12.823693595906342
54.0,2017,5028,-10.56563500533618
54.0,2018,4127,-17.919649960222753
54.0,2019,3826,-7.293433486794282
54.0,2020,2565,-32.95870360690016
54.0,2021,2697,5.146198830409357
54.0,2022,2090,-22.5064886911383
54.0,2023,1359,-34.97607655502392
55.0,2006,11498,
55.0,2007,12781,11.158462341276744
55.0,2008,12663,-0.923245442453642
55.0,2009,14163,11.845534233593934
55.0,2010,15031,6.128645061074631
55.0,2011,16376,8.948173774199986
55.0,2012,15118,-7.6819736199316075
55.0,2013,13527,-10.52387881994973
55.0,2014,12796,-5.4040068012123905
55.0,2015,10627,-16.950609565489216
55.0,2016,9350,-12.016561588406887
55.0,2017,7823,-16.331550802139038
55.0,2018,7047,-9.919468234692573
55.0,2019,5580,-20.81736909323116
55.0,2020,3602,-35.448028673835125
55.0,2021,3464,-3.8312048861743477
55.0,2022,4863,40.38683602771363
55.0,2023,3233,-33.518404277195145
56.0,2006,9209,
56.0,2007,11028,19.75241611467043
56.0,2008,11097,0.6256800870511425
56.0,2009,12828,15.598810489321439
56.0,2010,12446,-2.977860929217337
56.0,2011,11812,-5.09400610637956
56.0,2012,11598,-1.8117168980697596
56.0,2013,11520,-0.6725297465080186
56.0,2014,9926,-13.836805555555557
56.0,2015,8153,-17.862180132984083
56.0,2016,7552,-7.3715196860051515
56.0,2017,6610,-12.473516949152543
56.0,2018,5836,-11.709531013615734
56.0,2019,4923,-15.644276901987663
56.0,2020,3857,-21.653463335364613
56.0,2021,3892,0.9074410163339384
56.0,2022,4639,19.193216855087357
56.0,2023,2659,-42.681612416469065
57.0,2006,7660,
57.0,2007,8090,5.613577023498695
57.0,2008,7235,-10.568603213844252
57.0,2009,7617,5.279889426399447
57.0,2010,7809,2.520677432059866
57.0,2011,6938,-11.153796901011653
57.0,2012,7406,6.745459786682042
57.0,2013,6982,-5.725087766675668
57.0,2014,6929,-0.7590948152391865
57.0,2015,5694,-17.823639774859288
57.0,2016,5394,-5.268703898840886
57.0,2017,4585,-14.9981460882462
57.0,2018,3387,-26.128680479825515
57.0,2019,2963,-12.518452908178329
57.0,2020,1964,-33.715828552143094
57.0,2021,1863,-5.142566191446028
57.0,2022,2256,21.09500805152979
57.0,2023,1492,-33.86524822695036
58.0,2006,4315,
58.0,2007,4816,11.61066048667439
58.0,2008,4201,-12.769933554817275
58.0,2009,4748,13.020709354915496
58.0,2010,4309,-9.245998315080033
58.0,2011,4561,5.84822464608958
58.0,2012,5101,11.839508879631659
58.0,2013,4847,-4.979415800823368
58.0,2014,5352,10.418815762327213
58.0,2015,4700,-12.182361733931241
58.0,2016,4121,-12.319148936170214
58.0,2017,3564,-13.516136859985439
58.0,2018,3315,-6.986531986531987
58.0,2019,2688,-18.914027149321267
58.0,2020,1706,-36.532738095238095
58.0,2021,2053,20.33997655334115
58.0,2022,2380,15.927910375060886
58.0,2023,1473,-38.10924369747899
59.0,2006,2394,
59.0,2007,2523,5.3884711779448615
59.0,2008,2398,-4.954419342053112
59.0,2009,2357,-1.7097581317764805
59.0,2010,2527,7.212558336868902
59.0,2011,2784,10.170162247724575
59.0,2012,2719,-2.3347701149425286
59.0,2013,2528,-7.024641412283927
59.0,2014,2669,5.5775316455696204
59.0,2015,2239,-16.110902959910078
59.0,2016,2346,4.778919160339437
59.0,2017,2192,-6.564364876385337
59.0,2018,1894,-13.594890510948904
59.0,2019,1440,-23.970432946145724
59.0,2020,976,-32.22222222222222
59.0,2021,1140,16.80327868852459
59.0,2022,1473,29.210526315789476
59.0,2023,926,-37.13509843856076
60.0,2006,6849,
60.0,2007,7314,6.789312308366186
60.0,2008,7118,-2.679792179382007
60.0,2009,8382,17.75779713402641
60.0,2010,8232,-1.789549033643522
60.0,2011,8757,6.377551020408164
60.0,2012,8639,-1.3474934338243691
60.0,2013,8161,-5.533047806459081
60.0,2014,8034,-1.5561818404607277
60.0,2015,7177,-10.667164550659697
60.0,2016,5939,-17.249547164553437
60.0,2017,4454,-25.004209462872538
60.0,2018,3593,-19.330938482263136
60.0,2019,2995,-16.64347342053994
60.0,2020,1763,-41.13522537562604
60.0,2021,2091,18.6046511627907
60.0,2022,4108,96.46102343376374
60.0,2023,2606,-36.56280428432327
61.0,2006,7073,
61.0,2007,7469,5.598755832037325
61.0,2008,8556,14.553487749364038
61.0,2009,8043,-5.995792426367461
61.0,2010,8232,2.3498694516971277
61.0,2011,8574,4.154518950437318
61.0,2012,8272,-3.522276650338232
61.0,2013,7369,-10.916344294003869
61.0,2014,7966,8.101506310218483
61.0,2015,6753,-15.227215666582977
61.0,2016,7776,15.14882274544647
61.0,2017,6832,-12.139917695473251
61.0,2018,6385,-6.542740046838408
61.0,2019,5615,-12.059514487079092
61.0,2020,3546,-36.84772929652716
61.0,2021,4190,18.161308516638467
61.0,2022,5022,19.856801909307876
61.0,2023,2932,-41.61688570290721
62.0,2006,1378,
62.0,2007,1376,-0.14513788098693758
62.0,2008,1739,26.380813953488374
62.0,2009,1839,5.750431282346176
62.0,2010,1814,-1.3594344752582925
62.0,2011,1831,0.9371554575523704
62.0,2012,1703,-6.990715456034953
62.0,2013,1852,8.749266001174398
62.0,2014,1777,-4.049676025917927
62.0,2015,1667,-6.1902082160945415
62.0,2016,1759,5.518896220755849
62.0,2017,1846,4.945992040932349
62.0,2018,1419,-23.13109425785482
62.0,2019,1160,-18.2522903453136
62.0,2020,833,-28.18965517241379
62.0,2021,894,7.322929171668667
62.0,2022,1068,19.463087248322147
62.0,2023,603,-43.53932584269663
63.0,2006,2564,
63.0,2007,2514,-1.9500780031201248
63.0,2008,3122,24.184566428003183
63.0,2009,2981,-4.516335682254965
63.0,2010,3158,5.93760483059376
63.0,2011,3228,2.2165927802406586
63.0,2012,2617,-18.92812887236679
63.0,2013,2668,1.9487963316774932
63.0,2014,2752,3.1484257871064467
63.0,2015,2255,-18.05959302325581
63.0,2016,2143,-4.966740576496674
63.0,2017,1942,-9.379374708352776
63.0,2018,1734,-10.710607621009268
63.0,2019,1496,-13.725490196078432
63.0,2020,1001,-33.088235294117645
63.0,2021,1169,16.783216783216783
63.0,2022,1331,13.857998289136015
63.0,2023,837,-37.11495116453794
64.0,2006,2952,
64.0,2007,2808,-4.878048780487805
64.0,2008,3259,16.06125356125356
64.0,2009,2778,-14.759128567045106
64.0,2010,2708,-2.51979841612671
64.0,2011,2694,-0.51698670605613
64.0,2012,2734,1.4847809948032664
64.0,2013,2525,-7.644476956839795
64.0,2014,2378,-5.8217821782178225
64.0,2015,2030,-14.634146341463413
64.0,2016,2440,20.19704433497537
64.0,2017,2242,-8.114754098360656
64.0,2018,2072,-7.582515611061552
64.0,2019,1867,-9.893822393822393
64.0,2020,1247,-33.20835565077665
64.0,2021,1412,13.2317562149158
64.0,2022,1496,5.94900849858357
